"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"45","37","          Compensation of general government employees","W130RA3",67.116,67.165,67.376,67.287,68.392,68.34,67.737,67.993,70.593,70.328,70.259,70.263,72.283,72.423,72.298,72.697,73.086,72.746,72.019,72.562,76.136,76.238,76.518,76.036,76.668,77.344,77.724,78.532,79.859,80.991,82.111,82.684,82.745,83.112,83.667,83.431,84.705,85.612,85.808,85.435,85.461,85.54,85.438,84.672,86.508,89.811,88.468,85.573,85.787,85.346,84.776,84.126,83.441,82.817,83.528,83.829,84.017,84.793,85.307,84.303,84.307,84.725,85.13,84.438,84.665,85.157,85.187,84.362,84.41,83.947,83.288,82.772,84.905,83.968,84.682,86.726,87.456,85.97,86.728,88.73,88.174,87.291,87.304,88.035,91.896,92.343,93.155,90.857,91.301,91.004,91.447,93.519,94.263,93.377,93.284,92.982,94.16,94.141,93.165,92.15,92.907,91.13,90.319,88.728,88.568,89.308,89.088,81.651,83.13,86.352,85.542,84.276,84.688,84.977,84.538,83.013,84.094,85.059,85.276,86.707,87.587,85.638,84.28,84.286,87.374,92.504,86.875,85.637,87.592,88.562,88.585,87.457,88.399,88.961,90.083,91.548,91.965,92.282,91.893,91.64,91.104,91.089,90.64,91.418,91.374,90.948,90.322,90.896,90.644,90.815,91.363,90.818,91.253,90.997,91.637,91.954,93.153,94.314,95.113,96.902,98.246,101.312,100.156,100.286,102.468,107.183,104.107,103.368,104.04,103.573,102.565,102.338,103.925,103.756,103.302,103.42,103.013,101.769,100.835,95.162,101.165,100.881,100.818,100.731
"46","38","          Consumption of general government fixed capital \2\","B546RA3",23.483,24.035,24.557,25.106,25.551,26.087,26.586,26.981,27.398,27.765,28.176,28.554,28.891,29.302,29.681,30.034,30.355,30.771,31.162,31.526,31.81,32.163,32.48,32.847,33.143,33.523,33.864,34.19,34.568,34.949,35.313,35.667,36.105,36.487,36.933,37.463,37.954,38.461,38.963,39.486,39.981,40.553,41.051,41.567,42.091,42.62,43.098,43.644,44.103,44.575,45.007,45.406,45.807,46.18,46.518,46.834,47.163,47.52,47.848,48.177,48.525,48.863,49.211,49.569,49.909,50.244,50.611,50.955,51.323,51.671,52.042,52.409,52.785,53.16,53.52,53.921,54.301,54.693,55.084,55.484,55.872,56.256,56.673,57.112,57.573,58.043,58.543,59.028,59.539,60.041,60.514,61,61.452,61.872,62.326,62.754,63.181,63.6,64.004,64.375,64.742,65.126,65.502,65.875,66.236,66.608,67.019,67.443,67.903,68.374,68.845,69.328,69.548,69.902,70.289,70.721,71.217,71.74,72.339,72.956,73.639,74.283,74.963,75.625,76.293,76.926,77.509,78.062,78.579,79.115,79.663,80.215,80.793,81.359,81.911,82.434,82.963,83.49,84.012,84.549,85.102,85.654,86.215,86.78,87.368,87.979,88.665,89.405,90.182,90.951,91.714,92.45,93.175,93.861,94.529,95.21,95.898,96.622,97.429,98.268,99.189,99.872,100.343,100.596,101.537,102.446,103.291,104.046,104.997,105.861,106.681,107.458,108.162,108.786,109.338,109.833,110.261,110.762,111.345,111.997,112.718,113.51,114.338,115.159
"47","39","        Intermediate goods and services purchased \3\","W131RA3",12.313,13.518,15.007,11.68,12.228,13.903,13.452,13.836,11.723,17.12,20.092,16.998,21.561,22.282,22.024,21.501,20.621,20.353,20.839,19.488,23.022,16.008,24.375,26.476,24.178,25.069,23.937,24.03,22.152,21.494,20.928,19.226,21.272,22.218,23.374,25.04,22.961,25.054,24.139,26.488,26.016,25.416,25.118,28.323,26.637,34.612,27.999,27.267,28.472,33.395,31.722,29.942,29.161,25.07,26.829,30.927,34.737,35.538,46.084,19.781,21.249,32.16,31.742,32.246,33.887,36.013,36.216,34.021,34.292,36.944,41.586,44.781,39.332,35.37,28.514,36.202,25.868,23.764,23.184,29.577,31.914,36.03,36.033,35.94,37.598,38.952,41.547,40.802,42.312,38.999,41.14,39.954,45.115,44.118,46.333,46.736,41.858,41.097,40.888,41.982,44.069,44.717,43.145,46.739,46.266,44.367,45.023,43.642,42.119,40.88,41.242,42.802,44.791,46.143,46.787,46.32,45.451,44.589,43.767,43.153,41.535,41.896,42.179,42.552,43.771,44.622,46.482,48.001,49.322,54.133,54.319,57.818,61.086,64.881,66.25,67.81,67.164,70.31,71.841,73.489,74.604,75.53,74.969,79.172,80.348,75.74,79.944,83.228,88.072,82.723,84.352,78.625,76.765,78.478,79.999,82.765,85.955,88.289,90.089,93.073,98.03,100.595,100.169,101.206,108.578,111.548,111.955,108.244,100.312,95.517,93.569,93.827,95.464,96.078,95.759,95.63,90.141,87.056,84.95,84.595,83.269,82.37,81.269,81.354
"48","40","          Durable goods","A543RA3",3.742,3.727,3.185,3.241,3.343,3.907,4.185,4.436,4.426,5.437,5.856,4.818,7.707,7.901,8.685,8.207,7.544,8.166,7.318,6.43,7.442,7.408,8.154,8.888,8.161,7.589,8.664,9.788,8.334,8.626,9.642,9.201,10.367,11.327,12.088,12.921,13.082,13.271,13.299,13.454,14.986,15.098,15.62,16.726,17.504,17.926,17.977,16.589,16.816,18.016,15.968,15.33,20.793,11.963,13.466,14.031,15.955,15.865,16.473,16.905,16.509,17.795,18.281,17.985,18.241,17.842,18.49,18.036,17.101,17.072,17.741,19.707,19.053,20.09,20.847,21.108,21.092,21.474,21.649,21.883,22.409,23.691,24.842,25.781,26.886,27.532,28.102,28.184,28.612,28.584,29.14,30.559,31.871,30.831,32.615,31.839,31.816,31.827,30.1,30.424,29.622,29.047,29.634,28.632,28.757,27.387,28.745,29.51,30.864,31.486,33.414,34.407,34.337,34.83,36.046,35.219,35.602,35.951,34.377,34.529,37.44,39.676,40.455,40.224,41.004,42.479,44.09,46.232,44.138,45.99,47.405,48.886,55.059,56.051,58.151,59.362,58.656,57.847,59.987,59.486,60.978,65.702,66.121,67.931,67.95,70.079,72.643,74.615,82.715,79.033,80.989,77.019,77.103,79.767,83.605,86.07,89.498,92.05,92.726,96.316,98.004,99.026,101.658,101.312,107.87,111.327,112.473,110.786,106.273,102.736,101.015,101.209,102.599,102.928,102.861,102.221,98.668,96.388,95.424,95.155,93.768,93.521,91.894,91.83
"49","41","          Nondurable goods","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","            Commodity Credit Corporation inventory change","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","            Other nondurable goods","B828RA3",13.251,10.289,8.492,10.216,13.368,13.14,12.487,14.603,15.543,18.431,16.738,15.091,19.141,19.752,21.348,19.96,20.225,20.921,18.546,17.299,19.549,18.733,20.857,22.11,18.397,17.692,17.687,19.951,17.439,19.245,19.678,16.68,17.01,16.901,17.193,21.093,22.48,26.557,27.923,29.44,29.362,26.763,23.707,24.64,23.118,23.018,22.161,33.227,35.46,53.208,53.801,47.631,38.105,33.556,33.573,36.704,39.821,44.698,49.617,43.131,43.141,47.414,41.47,52.634,42.843,47.455,41.521,28.665,35.33,35.44,34.366,31.715,39.009,44.283,40.634,34.838,46.926,45.551,32.252,33.199,38.348,33.166,35.599,34.111,37.191,41.406,36.693,34.86,33.315,30.01,33.573,34.565,38.425,40.847,42.369,41.784,46.233,44.522,44.242,43.201,38.365,38.499,34.964,37.693,43.437,42.489,42.249,40.576,36.367,35.634,36.275,37.225,42.674,44.587,45.408,44.943,48.837,48.154,47.615,48.63,35.876,35.923,35.943,36.084,38.427,38.933,42.203,44.001,49.553,51.827,56.057,59.832,56.74,59.794,59.688,61.744,64.582,72.253,77.481,78.842,83.198,80.832,79.8,83.644,84.688,82.345,80.758,81.339,85.412,79.785,79.9,75.355,73.823,76.782,78.939,82.366,84.84,91.023,87.021,89.712,100.05,104.292,97.831,97.827,104.282,107.348,107.662,103.264,89.601,85.838,84.433,85.141,80.745,82.881,81.132,85.249,78.857,75.227,73.247,72.994,71.856,71.495,72.567,70.012
"52","44","          Services","A544RA3",15.308,16.075,13.454,15.785,17.697,21.135,21.125,23.086,21.655,25.817,26.215,23.054,29.775,31.44,33.758,32.16,32.206,33.461,29.238,25.669,29.921,29.133,31.481,34.29,30.713,31.527,31.906,32.098,26.793,26.571,27.591,24.871,27.233,28.274,29.208,30.357,29.201,31.006,28.542,29.487,30.706,31.808,31.554,35.126,33.236,35.48,34.466,28.644,29.129,28.195,28.193,26.569,26.453,22.373,25.877,31.274,34.949,31.674,30.22,31.147,33.117,32.707,31.957,33.763,36.188,35.221,37.595,33.835,34.879,34.336,35.291,37.462,39.062,38.135,42.706,39.838,37.758,37.629,38.082,37.127,35.42,36.983,36.961,39.649,43.004,44.746,45.519,43.678,42.231,40.955,45.801,46.396,51.168,47.217,49.589,49.639,41.403,41.303,40.914,43.554,47.82,48.438,48.661,51.744,48.109,47.996,47.486,46.021,44.979,43.946,44.095,45.689,46.343,47.819,48.356,47.673,45.084,43.89,42.892,42.101,43.685,43.648,44.121,45.094,44.757,45.715,46.825,47.639,48.427,51.403,54.392,57.897,62.924,66.153,68.549,70.466,68.938,70.002,71.173,72.74,74.341,75.297,76.466,78.898,77.687,77.975,81.267,84.325,89.788,83.981,86.202,79.949,77.978,79.314,80.312,82.86,86.168,88.954,91.045,93.674,97.291,99.503,100.946,102.261,110.668,113.399,113.537,109.934,103.66,98.399,96.453,96.544,100.035,100.428,100.307,98.724,93.544,90.605,88.523,88.09,86.704,86.145,84.406,84.672
"53","45","      Less: Own-account investment \4\","W136RA3",65.885,67.164,67.473,66.73,66.138,66.11,65.936,65.459,65.545,64.899,65.39,65.245,67.754,65.901,65.214,66.102,65.204,64.353,64.968,65.583,63.316,66.574,66.68,67.676,65.563,65.924,66.974,67.608,66.299,67.576,67.417,66.982,64.715,64.507,65.889,65.272,66.2,67.573,69.489,69.269,69.194,70.387,72.065,72.684,73.106,74.019,74.277,73.595,72.791,72.588,71.807,71.305,70.11,69.523,69.407,68.725,69.265,69.109,69.616,68.792,68.585,68.49,69.137,69.927,70.617,71.158,71.242,71.317,71.555,72.702,73.553,74.707,76.328,77.925,78.258,79.069,78.856,79.525,80.709,80.926,81.499,82.602,85.326,86.966,88.999,91.623,90.291,90.135,91.171,92.806,93.645,94.664,95.907,95.279,95.334,94.235,95.555,96.755,97.706,96.924,95.869,95.595,97.451,95.784,96.782,95.406,96.866,92.62,92.359,93.139,94.432,92.089,94.167,92.395,90.401,87.859,92.46,95.129,93.816,88.346,84.04,94.694,94.647,92.1,88.065,89.627,91.206,91.887,96.009,98.752,97.47,95.802,95.529,95.953,97.851,97.301,97.452,98.573,98.272,99.862,98.03,98.36,99.224,98.433,99.397,99.968,100.454,99.935,99.21,98.956,99.059,98.139,96.512,95.976,96.07,95.071,95.688,96.01,97.322,98.615,98.912,98.993,100.662,101.433,100.637,99.348,99.512,98.094,97.389,96.67,95.589,94.706,94.362,94.332,94.078,92.739,91.132,89.603,88.043,85.481,85.379,84.033,83.171,82.557
"54","46","      Less: Sales to other sectors","W137RA3",63.827,71.803,76.117,73.324,73.574,68.166,59.284,70.264,63.061,68.664,64.95,71.429,88.443,89.911,89.319,102.332,95.076,94.87,73.061,83.299,98.169,94.453,75.383,84.004,78.954,88.48,81.11,86.925,77.608,121.884,138.108,66.51,118.107,121.443,151.686,114.245,120.313,140.16,159.178,142.139,144.027,150.302,145.927,203.013,131.518,151.845,148.829,125.514,116.456,122.118,140.418,107.608,109.535,107.892,120.816,102.494,108.625,105.427,143.014,135.829,119.65,128.778,127.395,123.737,129.834,124.047,126.774,133.956,133.967,141.332,129.4,139.627,141.71,139.44,145.196,153.537,153.277,163.197,162.064,146.025,151.517,167.49,168.003,142.909,147.076,129.588,144.788,155.852,194.209,124.508,190.768,164.236,166.693,130.319,156.29,102.271,124.246,127.122,103.638,92.987,113.546,162.445,100.629,102.004,114.605,98.411,100.683,136.255,101.38,105.133,131.271,107.746,79.722,75.173,62.715,74.958,66.715,59.905,243.96,56.932,66.919,84.688,65.577,63.921,81.71,89.865,81.933,156.334,55.707,61.397,61.515,85.847,79.666,51.761,49.562,51.511,52.072,77.486,64.48,62.451,56.87,57.451,80.264,92.241,112.892,75.259,114.627,136.646,84.992,84.193,84.991,70.883,64.091,79.627,76.03,72.562,73.563,74.54,121.422,77.867,90.715,100.28,103.278,105.727,111.115,133.959,142.264,95.5,75.522,97.661,309.722,103.665,85.763,105.495,76.343,69.334,73.662,75.701,74.933,70.465,72.084,112.383,91.78,101.21
"55","47","State and local consumption expenditures \1\","A991RA3",38.271,38.832,39.414,40.08,40.695,41.158,41.828,42.414,42.882,43.305,43.845,44.356,44.621,45.057,45.485,45.81,46.025,46.422,47.088,47.617,48.139,48.617,49.085,49.662,50.631,51.183,51.606,51.625,51.693,51.769,52.102,52.417,52.646,52.763,53.151,53.416,53.722,53.765,54.168,54.599,54.7,54.345,54.089,54.446,54.47,54.366,54.121,53.888,53.672,53.738,54.142,54.346,54.608,54.863,54.838,55.008,55.519,55.465,55.514,55.617,55.903,56.389,57.002,57.487,58.148,58.759,59.697,60.366,61.076,61.64,62.154,62.842,62.788,63.028,63.065,63.878,64.71,65.152,65.633,66.186,66.895,67.468,68.091,68.699,69.316,69.729,70.287,70.667,71.027,71.375,71.662,71.983,72.515,72.903,73.427,73.601,73.971,74.116,74.523,74.846,75.588,76.248,76.754,77.054,77.683,78.063,78.391,78.8,78.782,79.667,79.927,80.375,80.791,81.397,82.125,82.912,83.861,84.791,85.629,86.272,87.073,87.687,88.357,88.955,89.164,89.602,90.062,90.634,91.532,92.451,93.429,94.204,94.934,95.457,95.717,95.638,95.191,94.915,94.652,94.549,94.691,94.906,94.939,95.141,95.238,95.303,95.633,95.69,95.57,95.805,96.289,97.051,97.46,97.74,97.75,97.966,97.705,97.572,98.025,98.478,99.4,100.079,100.172,100.349,98.755,97.933,96.956,96.107,95.186,94.92,94.673,94.542,94.36,94.441,94.724,94.903,95.291,95.666,95.969,96.205,96.404,96.69,96.906,97.173
"56","48","      Gross output of general government","W138RA3",36.874,37.357,37.885,38.462,39.004,39.457,40.122,40.672,41.212,41.663,42.178,42.716,42.997,43.482,43.868,44.273,44.528,44.853,45.331,45.911,46.325,46.709,47.05,47.512,48.404,48.837,49.145,49.302,49.422,49.599,49.951,50.292,50.472,50.599,50.959,51.276,51.556,51.755,52.249,52.777,52.855,52.711,52.583,52.944,52.941,52.863,52.691,52.6,52.485,52.624,53.011,53.251,53.494,53.759,53.781,53.982,54.475,54.551,54.683,54.771,54.936,55.367,55.94,56.425,57.053,57.687,58.543,59.22,59.879,60.459,60.973,61.575,61.577,61.814,61.907,62.609,63.342,63.788,64.237,64.781,65.469,66.034,66.614,67.192,67.74,68.106,68.607,69.029,69.436,69.827,70.182,70.585,71.159,71.574,72.109,72.375,72.883,73.132,73.587,73.975,74.653,75.265,75.813,76.191,76.848,77.252,77.59,78.006,78.056,78.81,79.087,79.582,80.162,80.744,81.466,82.277,83.091,83.962,84.756,85.346,86.073,86.688,87.346,88.054,88.501,89.04,89.665,90.375,91.449,92.451,93.364,94.131,94.779,95.246,95.502,95.471,95.082,94.891,94.746,94.696,94.868,95.098,95.135,95.305,95.44,95.542,95.816,95.905,96.149,96.436,96.876,97.377,97.78,98.107,98.188,98.286,97.983,97.861,98.227,98.605,99.374,100.026,100.199,100.401,99.184,98.656,97.994,97.428,96.556,96.363,96.208,96.125,95.992,96.118,96.409,96.623,97.038,97.439,97.708,97.903,98.059,98.358,98.597,98.899
"57","49","        Value added","W139RA3",46.288,46.767,47.261,47.829,48.332,48.863,49.413,49.933,50.414,50.828,51.381,51.975,52.119,52.71,53.188,53.689,54.061,54.517,55.027,55.564,56.141,56.562,56.993,57.449,58.168,58.437,58.674,58.77,58.925,59.051,59.415,59.769,59.896,59.959,60.323,60.639,61.021,61.133,61.796,62.541,62.725,62.522,62.461,63.292,63.61,63.697,63.642,63.538,63.316,63.351,63.777,63.995,64.128,64.217,63.952,63.881,63.921,63.851,63.784,63.622,63.637,63.938,64.439,64.762,65.186,65.609,66.479,66.905,67.212,67.687,68.106,68.871,68.894,69.166,69.172,70.024,70.971,71.441,71.881,72.469,73.043,73.592,74.246,74.736,75.493,75.916,76.407,76.651,76.822,77.036,77.176,77.417,77.947,78.272,78.716,78.789,79.091,79.336,79.679,79.916,80.24,80.777,81.177,81.366,82.038,82.338,82.59,82.99,82.883,83.806,83.976,84.386,84.76,85.13,85.629,86.143,86.607,87.1,87.509,87.732,88.003,88.348,88.88,89.46,89.95,90.363,90.742,91.121,91.688,92.395,93.087,93.652,94.014,94.459,94.775,94.848,95.082,95.149,95.132,95.147,95.226,95.413,95.482,95.715,95.923,96.034,96.323,96.271,96.443,96.652,97.101,97.557,97.758,98.135,98.351,98.961,99.297,99.433,99.852,99.854,99.978,100.115,99.914,99.993,99.672,99.57,99.151,98.911,98.632,98.341,98.023,97.866,97.591,97.584,97.776,97.805,98.032,98.301,98.548,98.722,98.806,99.031,99.143,99.308
"58","50","          Compensation of general government employees","B251RA3",50.227,50.727,51.248,51.86,52.393,52.964,53.558,54.119,54.634,55.069,55.675,56.332,56.445,57.1,57.618,58.162,58.551,59.039,59.593,60.179,60.813,61.259,61.717,62.207,63.021,63.283,63.508,63.562,63.691,63.787,64.176,64.556,64.662,64.691,65.086,65.423,65.841,65.928,66.683,67.535,67.703,67.4,67.268,68.22,68.545,68.592,68.467,68.284,67.958,67.949,68.42,68.641,68.759,68.823,68.454,68.321,68.324,68.189,68.054,67.802,67.761,68.06,68.593,68.906,69.335,69.76,70.715,71.135,71.41,71.886,72.294,73.115,73.049,73.281,73.194,74.117,75.149,75.608,76.025,76.613,77.178,77.709,78.358,78.811,79.574,79.946,80.402,80.57,80.654,80.792,80.847,81.022,81.539,81.82,82.242,82.233,82.494,82.69,83,83.19,83.481,84.019,84.396,84.525,85.214,85.47,85.672,86.047,85.834,86.811,86.906,87.272,87.589,87.926,88.397,88.87,89.273,89.709,90.048,90.174,90.357,90.625,91.105,91.641,92.071,92.415,92.72,93.028,93.555,94.244,94.92,95.453,95.757,96.159,96.417,96.402,96.614,96.603,96.498,96.431,96.44,96.571,96.569,96.755,96.913,96.96,97.21,97.071,97.186,97.34,97.763,98.19,98.322,98.653,98.8,99.398,99.68,99.738,100.12,100.028,100.078,100.156,99.863,99.904,99.461,99.278,98.74,98.413,98.045,97.665,97.256,97.032,96.675,96.624,96.803,96.795,97.015,97.281,97.522,97.677,97.729,97.944,98.031,98.18
"59","51","          Consumption of general government fixed capital \2\","B986RA3",24.171,24.495,24.815,25.131,25.442,25.745,26.04,26.326,26.605,26.877,27.143,27.402,27.655,27.909,28.164,28.42,28.676,28.938,29.204,29.474,29.746,30.011,30.269,30.524,30.778,31.025,31.267,31.503,31.732,31.952,32.163,32.366,32.558,32.749,32.939,33.127,33.313,33.508,33.711,33.924,34.145,34.372,34.605,34.842,35.083,35.316,35.54,35.755,35.96,36.156,36.343,36.519,36.685,36.854,37.026,37.201,37.378,37.574,37.789,38.022,38.272,38.549,38.852,39.18,39.534,39.905,40.295,40.702,41.125,41.548,41.974,42.402,42.832,43.265,43.703,44.148,44.598,45.079,45.589,46.129,46.698,47.293,47.913,48.559,49.228,49.882,50.523,51.151,51.768,52.378,52.977,53.566,54.141,54.706,55.259,55.802,56.335,56.862,57.381,57.891,58.393,58.909,59.439,59.98,60.531,61.079,61.623,62.16,62.687,63.26,63.878,64.542,65.25,65.813,66.47,67.217,68.053,68.89,69.728,70.564,71.398,72.242,73.096,73.963,74.843,75.712,76.573,77.427,78.269,79.088,79.89,80.671,81.433,82.178,82.903,83.608,83.993,84.627,85.254,85.871,86.482,87.088,87.686,88.273,88.851,89.431,90.011,90.59,91.171,91.783,92.423,93.091,93.788,94.487,95.188,95.891,96.597,97.289,97.967,98.633,99.275,99.826,100.275,100.624,101.17,101.654,102.096,102.495,102.863,103.217,103.557,103.883,104.194,104.497,104.792,105.079,105.359,105.646,105.941,106.245,106.557,106.858,107.148,107.426
"60","52","        Intermediate goods and services purchased \3\","W140RA3",20.641,21.104,21.654,22.214,22.789,23.101,23.916,24.488,25.1,25.596,26.033,26.465,26.959,27.259,27.485,27.724,27.78,27.883,28.295,28.929,29.064,29.376,29.563,30.012,31.12,31.783,32.185,32.429,32.487,32.733,33.048,33.352,33.604,33.821,34.156,34.461,34.57,34.892,35.104,35.275,35.188,35.139,34.919,34.568,34.106,33.798,33.475,33.409,33.453,33.728,34.032,34.285,34.662,35.156,35.58,36.158,37.28,37.568,37.992,38.449,38.834,39.439,40.094,40.804,41.722,42.658,43.458,44.509,45.714,46.449,47.112,47.421,47.387,47.557,47.796,48.223,48.57,48.963,49.415,49.869,50.736,51.317,51.754,52.474,52.639,52.9,53.409,54.136,54.955,55.66,56.402,57.099,57.751,58.33,59.032,59.663,60.559,60.813,61.48,62.153,63.512,64.265,65.097,65.841,66.466,67.068,67.57,68.014,68.366,68.79,69.271,69.925,70.9,71.885,73.038,74.428,75.926,77.548,79.117,80.449,82.113,83.283,84.199,85.169,85.527,86.325,87.454,88.846,90.965,92.585,93.965,95.166,96.437,96.947,97.069,96.808,95.081,94.335,93.909,93.717,94.09,94.416,94.382,94.416,94.398,94.482,94.726,95.112,95.509,95.956,96.378,96.969,97.792,98.014,97.816,96.858,95.263,94.624,94.879,95.992,98.104,99.84,100.803,101.253,98.142,96.71,95.534,94.284,92.193,92.208,92.393,92.458,92.612,93.008,93.5,94.089,94.888,95.558,95.872,96.109,96.411,96.86,97.355,97.938
"61","53","          Durable goods","B989RA3",15.163,15.671,16.188,16.8,17.027,17.702,18.476,18.976,19.843,20.546,21.143,21.885,22.503,23.114,23.383,23.833,24.289,24.598,25.274,25.977,26.514,26.586,26.161,25.98,26.357,26.719,27.158,27.675,27.641,27.976,28.376,28.548,28.811,29.165,29.319,29.228,29.23,29.698,30.088,30.415,30.267,30.561,30.679,30.566,30.176,30.075,30.113,30.468,30.738,31.231,31.579,31.826,31.965,32.24,32.524,32.849,33.387,33.594,34.091,34.495,35.028,35.656,36.297,36.627,36.766,37.388,38.052,38.73,39.651,40.461,41.231,41.639,41.671,41.956,42.442,42.803,42.89,43.232,43.47,43.894,44.562,45.107,45.584,46.243,46.322,46.353,46.615,46.757,47.277,47.858,48.533,49.138,49.258,49.549,49.909,49.868,50.632,50.89,51.451,51.732,52.462,52.973,53.815,54.529,55.881,56.686,57.417,58.17,58.002,58.142,58.79,59.571,61.235,62.114,63.203,64.11,66.671,68.977,71.173,72.472,74.156,75.523,76.778,78.486,79.849,80.871,82.537,83.525,85.849,87.663,88.698,89.25,89.55,89.181,88.886,88.542,87.389,87.398,87.638,87.984,88.712,89.4,89.886,90.077,90.439,90.956,91.37,91.911,92.437,93.274,93.982,94.944,96.181,96.778,97.091,96.799,95.963,95.714,96.051,97.243,99.271,100.199,100.365,100.166,97.734,96.876,95.506,94.495,93.068,93.182,93.24,93.221,92.96,93.845,93.767,93.365,93.706,94.22,94.415,94.508,94.593,95.215,95.68,96.149
"62","54","          Nondurable goods","B337RA3",20.59,20.906,21.367,21.888,22.519,22.917,23.82,24.568,25.284,25.623,26.015,26.298,26.667,26.748,26.728,26.884,26.854,26.808,27.131,27.719,27.404,27.722,27.76,28.152,29.511,30.255,30.668,31.198,31.962,32.572,33.318,34.063,34.52,34.887,35.485,35.714,35.768,36.019,36.153,36.207,36.108,35.97,35.677,35.24,34.706,34.273,33.948,33.849,33.944,34.022,34.088,34.152,34.336,34.68,35.018,35.375,36.221,36.367,36.737,37.091,37.625,38.237,38.873,39.431,39.868,40.721,41.626,42.613,43.847,44.664,45.339,45.763,45.727,45.997,46.449,46.888,47.208,47.544,47.794,48.154,48.847,49.304,49.765,50.414,50.544,50.827,51.403,51.964,52.655,53.271,53.981,54.617,55.143,55.713,56.458,57.111,58.006,58.214,58.828,59.513,60.789,61.625,62.558,63.33,64.043,64.669,65.166,65.621,65.922,66.368,66.84,67.432,68.2,69.03,69.993,71.183,72.608,74.045,75.532,76.941,78.53,79.705,80.629,81.595,81.955,82.737,83.869,85.13,87.078,88.609,89.918,91.024,92.142,92.583,92.649,92.396,90.689,90.22,90.221,90.457,91.063,91.787,91.854,91.82,91.91,92.084,92.587,93.063,93.435,93.974,94.549,95.512,96.743,97.174,97.061,96.335,94.716,94.121,94.43,95.939,98.197,99.823,100.798,101.182,97.766,96.184,94.852,93.668,91.558,91.76,92.028,92.35,92.577,93.043,93.632,94.338,95.206,95.949,96.414,96.664,97.098,97.735,98.419,99.22
