"","Table 1#5#4# Price Indexes for Gross Domestic Product, Expanded ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240"
"51","43","    Services","B656RG3",18.927,18.871,18.912,19.001,19.58,19.634,19.622,19.55,19.154,19.057,19.005,19,18.808,18.957,19.172,19.431,20.044,20.224,20.314,20.294,20.605,20.406,20.167,19.871,19.689,19.439,19.26,19.17,19.333,19.345,19.344,19.321,19.139,19.104,19.109,19.164,19.204,19.328,19.457,19.562,19.76,19.773,19.709,19.587,19.365,19.253,19.239,19.338,19.561,19.53,19.525,19.542,19.503,19.54,19.779,19.904,20.026,20.103,20.059,20.053,20.031,20.21,20.333,20.716,21.023,21.119,21.197,21.292,21.205,21.291,21.375,21.476,21.88,21.999,22.121,22.324,22.634,22.636,22.635,22.638,22.823,22.84,22.864,22.895,23.034,23.206,23.436,23.528,23.514,23.644,23.92,24.024,24.22,24.59,24.775,24.911,26.056,26.597,27.038,27.721,27.518,27.84,28.338,29.069,29.819,31.937,33.699,34.982,36.988,38.443,39.284,40.403,40.888,41.648,42.176,42.982,43.15,43.26,44.067,44.795,45.587,46.434,47.317,48.393,49.072,50.303,52.173,53.235,54.437,56.376,58.95,61.503,65.085,66.226,68.241,68.842,69.218,69.642,70.043,71.143,71.446,70.469,69.262,69.069,68.911,68.862,68.964,68.917,69.215,69.173,66.979,65.559,64.75,66.448,68.614,70.782,74.032,74.881,75.872,76.204,75.025,75.827,76.878,77.564,79.587,80.423,80.019,80.394,79.504,79.303,79.376,80.454,82.497,83.715,86.347,90.147,90.294,88.003,88.311,88.898,89.666,90.473,93.094,91.807,91.579,92.337,91.576,92.001,92.143,92.33,94.32,95.031,93.721,96.626,97.176,96.709,97.239,97.724,98.218,98.998,98.321,98.42,97.263,96.744,94.461,95.348,95.498,96.895,96.88,98.448,99.459,99.735,100.054,99.554,100.164,100.227,100.61,100.051,100.342,99.51,99.43,101.256,103.236,103.59,105.601,107.533,108.389,109.502,111.504,111.574,113.586,115.383,117.585,117.531,118.523,119.176,120.07
"52","44","Government consumption expenditures and gross investment","B822RG3",10.832,10.855,10.687,10.812,10.995,11.092,11.345,11.426,11.641,11.555,11.408,11.523,11.453,11.398,11.573,11.732,12.295,12.193,12.285,12.443,12.305,12.489,12.638,12.774,12.683,12.706,12.646,12.705,12.787,12.906,13.012,13.119,13.2,13.432,13.6,13.763,14.002,14.221,14.371,14.444,14.717,14.854,14.952,15.039,15.147,15.298,15.423,15.492,15.469,15.425,15.347,15.377,15.44,15.497,15.662,15.792,15.801,15.888,15.92,16.028,16.196,16.255,16.329,16.474,16.572,16.625,16.608,16.873,16.981,17.056,17.226,17.263,17.378,17.458,17.632,17.885,18.012,18.164,18.511,18.634,18.756,18.964,19.187,19.488,19.727,19.967,20.244,20.574,20.74,21.101,21.596,21.926,22.526,22.898,23.281,23.609,24.272,24.722,25.067,25.439,26.296,26.556,26.88,27.419,27.976,28.486,28.97,29.542,30.201,31.062,32.127,33.193,33.886,34.499,35.08,35.829,36.332,36.832,37.289,38.02,38.776,39.381,39.837,40.782,41.301,41.878,42.484,43.276,44.135,45.019,46.297,47.648,48.782,50.05,51.179,53.034,54.359,55.341,56.001,57.309,58.213,59.044,59.761,60.638,61.026,61.555,62.085,62.449,64.138,64.761,65.277,65.644,66.489,66.774,66.994,67.624,67.739,67.885,68.254,68.822,69.5,69.899,70.344,70.48,71.158,71.778,72.146,72.515,73.459,73.94,74.351,74.808,75.941,76.655,77.395,78.563,79.274,79.445,80.015,80.412,81.015,81.598,82.039,82.224,83.092,83.583,84.028,84.454,85.237,85.794,86.188,86.788,87.73,88.094,88.401,89.205,90.321,90.016,90.523,91.102,91.819,91.908,92.115,92.715,92.953,93.231,93.628,94.066,94.803,95.639,96.475,97.397,98.97,99.395,100.486,101.149,101.929,102.384,102.792,103.072,104.378,105.126,105.795,106.728,109.03,109.026,109.695,110.087,111.755,113.114,114.003,115.148,116.747,117.82,119.751,121.343,122.837
"53","45","  Federal","B823RG3",12.614,12.536,12.072,12.056,12.107,12.12,12.288,12.308,12.792,12.771,12.518,12.797,12.751,12.57,12.622,12.639,13.366,13.062,13.092,13.265,13.055,13.27,13.385,13.596,13.401,13.452,13.365,13.463,13.609,13.649,13.779,13.908,14.097,14.455,14.597,14.77,14.982,15.235,15.336,15.368,15.739,15.834,15.962,16.121,16.338,16.513,16.671,16.753,16.584,16.488,16.348,16.38,16.38,16.427,16.679,16.873,16.828,16.872,16.844,16.941,17.086,17.138,17.249,17.439,17.513,17.537,17.475,17.863,18.005,18.078,18.339,18.343,18.412,18.476,18.685,19.058,19.085,19.105,19.552,19.579,19.547,19.775,19.973,20.356,20.542,20.793,21.173,21.472,21.502,21.822,22.461,22.735,23.465,23.736,24.11,24.351,25.237,25.747,26.133,26.71,28.055,28.27,28.474,29.181,29.659,30.112,30.7,31.324,31.782,32.467,33.539,34.859,35.637,36.14,36.826,37.854,38.297,38.741,39.349,40.483,41.352,41.878,42.053,43.435,43.863,44.308,44.909,46.058,46.718,47.435,48.391,50.382,51.307,52.492,53.346,56.052,56.999,57.879,58.513,60.513,61.355,62.108,62.629,63.691,64.046,64.449,64.904,65.049,67.66,68.291,68.786,68.966,69.876,69.846,69.743,70.432,70.262,70.253,70.372,70.52,71.004,71.116,71.321,71.36,72.198,72.744,72.836,73.038,74.286,74.524,74.983,74.916,76.009,76.713,77.251,78.597,79.675,79.818,80.45,80.985,81.939,82.498,83.033,82.939,83.899,84.448,85.186,85.62,86.165,87.126,87.126,87.824,88.832,88.963,89.293,90.924,92.245,91.451,91.812,92.419,93.284,93.386,93.481,93.982,94.266,94.431,94.555,94.794,96.055,96.583,97.12,97.777,99.489,99.223,100.449,100.838,101.309,101.587,102.143,102.589,105.098,105.231,105.502,106.696,109.238,109.579,109.902,110.241,112.825,114.191,114.825,115.575,117.55,118.168,119.056,119.327,121.041
"54","46","    National defense","B824RG3",12.731,12.736,11.696,11.713,11.934,12.048,12.283,12.359,12.647,12.574,12.433,12.581,12.536,12.367,12.55,12.735,13.198,12.928,12.964,13.153,12.851,13.061,13.166,13.377,13.154,13.206,13.118,13.21,13.407,13.419,13.58,13.713,13.857,14.229,14.434,14.627,14.864,15.113,15.188,15.243,15.639,15.701,15.833,15.972,16.169,16.31,16.499,16.577,16.37,16.283,16.166,16.21,16.189,16.243,16.445,16.653,16.565,16.631,16.588,16.691,16.796,16.861,16.987,17.115,17.25,17.261,17.167,17.602,17.686,17.697,17.95,17.955,18.025,18.123,18.358,18.75,18.71,18.714,19.195,19.181,19.129,19.365,19.577,20.001,20.104,20.345,20.714,20.993,21.022,21.373,21.999,22.262,22.884,23.103,23.51,23.787,24.661,25.143,25.542,26.2,27.86,28.072,28.278,29.065,29.496,30.035,30.748,31.305,31.867,32.447,33.649,34.903,35.575,35.985,36.644,37.638,38.164,38.645,39.273,40.385,41.233,41.744,41.891,43.448,44.039,44.539,45.219,46.344,47.028,47.79,48.844,50.849,51.825,53.164,53.94,56.702,57.581,58.611,59.311,61.415,62.263,63.099,63.636,64.571,64.913,65.414,65.925,66.217,69.538,70.187,70.654,70.781,71.635,71.441,71.371,72.037,71.68,71.452,71.492,71.592,72.136,72.219,72.401,72.368,73.131,73.619,73.712,74.061,75.259,75.409,75.863,75.58,76.925,77.474,78.182,79.459,80.149,80.224,81.046,81.867,83.031,83.66,84.236,83.584,84.454,85.04,85.676,86.082,86.503,87.402,87.54,88.203,88.979,89.255,89.657,90.501,92.351,91.946,92.321,92.898,93.62,93.634,93.631,93.979,94.405,94.542,94.675,94.948,96.199,96.658,97.091,97.595,99.527,99.482,100.377,100.614,101.489,101.677,102.314,102.528,104.784,105.112,105.744,107.529,109.939,110.229,110.573,110.995,113.091,114.641,115.429,116.198,118.06,118.471,119.493,119.764,121.232
"55","47","      Consumption expenditures","B997RG3",11.354,11.359,10.367,10.362,10.57,10.662,10.839,10.91,11.168,11.14,11.008,11.155,11.086,10.915,11.085,11.173,11.608,11.275,11.293,11.449,11.113,11.369,11.461,11.691,11.515,11.598,11.517,11.652,11.862,11.872,11.987,12.081,12.299,12.683,12.864,13.01,13.148,13.372,13.399,13.433,13.789,13.843,13.943,14.067,14.321,14.47,14.634,14.693,14.461,14.359,14.208,14.253,14.263,14.325,14.523,14.761,14.66,14.712,14.663,14.723,14.892,14.952,15.035,15.128,15.33,15.317,15.235,15.717,15.822,15.823,16.099,16.101,16.203,16.271,16.536,16.943,16.92,16.867,17.39,17.347,17.313,17.537,17.737,18.162,18.276,18.508,18.877,19.117,19.127,19.407,20.06,20.29,20.863,21.032,21.414,21.654,22.512,22.946,23.327,23.958,25.055,25.271,25.422,26.135,26.594,27.078,27.744,28.33,28.846,29.434,30.567,31.831,32.456,32.809,33.435,34.386,34.819,35.243,35.79,36.888,37.601,38.044,38.239,39.745,40.175,40.617,41.236,42.408,43.058,43.736,44.749,46.841,47.823,49.031,49.81,52.591,53.352,54.295,54.867,57.017,57.757,58.447,58.919,59.947,60.25,60.773,61.192,61.498,65.194,65.866,66.375,66.393,67.545,67.584,67.492,68.508,68.405,68.191,68.397,68.801,69.441,69.762,70.111,70.16,70.966,71.534,71.639,71.908,73.245,73.353,73.757,73.589,74.997,75.565,76.229,77.612,78.343,78.409,79.316,80.246,81.64,82.293,82.959,82.035,82.92,83.533,84.167,84.547,84.995,85.723,85.888,86.525,87.386,87.547,87.98,88.761,90.458,90.71,91.177,91.856,92.696,92.716,92.803,93.209,93.783,93.894,94.114,94.363,95.611,96.134,96.647,97.191,99.424,99.418,100.439,100.719,101.819,102.038,102.828,103.296,105.882,106.235,106.955,109.001,111.796,112.125,112.527,113.009,115.343,116.96,117.824,118.561,120.631,121.144,122.308,122.526,124.174
"56","48","      Gross investment","B788RG3",19.352,19.18,19.736,20.119,20.145,20.428,21.262,21.32,21.78,21.21,21.043,21.09,21.351,21.366,21.542,22.867,23.349,23.676,23.808,24.188,24.059,24.004,24.193,24.293,23.774,23.66,23.523,23.368,23.484,23.515,23.964,24.366,24.013,24.306,24.666,25.189,26.129,26.523,26.937,27.141,27.804,27.923,28.295,28.537,28.229,28.284,28.656,28.895,28.891,28.909,29.001,29.048,28.831,28.838,29.066,29.069,29.082,29.24,29.23,29.601,29.31,29.405,29.804,30.17,29.855,30.042,29.869,29.912,29.814,29.906,29.928,29.957,29.75,30.084,29.991,30.124,29.952,30.482,30.444,30.694,30.497,30.785,31.047,31.347,31.29,31.539,31.743,32.339,32.582,33.552,33.55,34.074,34.943,35.626,36.138,36.738,37.314,38.14,38.406,38.742,50.447,49.978,50.849,52.002,51.71,52.692,53.527,52.956,53.836,53.912,55.354,55.823,56.72,57.678,58.374,59.511,60.918,61.866,63.181,64.085,66.08,67.144,66.704,68.189,70.379,71.333,72.422,72.686,73.527,74.923,76.158,76.942,77.6,79.811,80.318,82.189,84.055,85.697,87.42,88.727,90.345,92.32,93.335,93.343,94.011,94.272,95.441,95.582,95.934,96.358,96.493,97.387,96.221,94.588,94.69,93.328,91.488,91.189,90.326,88.823,88.83,87.603,86.903,86.421,86.95,86.971,86.992,87.807,88.222,88.623,89.38,88.423,89.445,89.901,90.871,91.6,92.045,92.173,92.516,92.707,92.535,93.049,93.124,94.058,94.855,95.281,95.939,96.511,96.736,98.765,98.732,99.565,99.804,100.823,101.01,102.253,105.052,100.48,100.255,100.1,99.965,99.926,99.281,99.226,98.584,98.924,98.46,98.844,100.144,100.15,100.055,100.289,100.223,99.906,99.956,99.914,99.292,99.283,98.944,97.534,97.625,97.79,97.883,98.04,97.989,98.028,98.005,98.054,98.669,99.803,100.129,101.087,101.667,101.436,101.591,102.169,102.582
"57","49","    Nondefense","B825RG3",11.678,11.253,12.804,12.693,12.073,11.777,11.774,11.66,12.631,12.751,12.234,12.848,12.819,12.644,12.291,11.679,13.468,12.922,12.846,12.828,13.389,13.617,13.801,13.989,14.032,14.071,13.993,14.126,13.924,14.137,14.051,14.15,14.598,14.841,14.601,14.634,14.667,14.926,15.193,15.055,15.245,15.553,15.633,15.925,16.234,16.642,16.599,16.719,16.819,16.682,16.443,16.421,16.515,16.522,17.018,17.138,17.309,17.237,17.287,17.35,17.684,17.675,17.715,18.157,17.972,18.053,18.121,18.318,18.676,18.969,19.25,19.25,19.309,19.261,19.379,19.681,19.929,20.006,20.321,20.505,20.559,20.749,20.883,21.071,21.605,21.885,22.299,22.676,22.704,22.887,23.554,23.857,24.987,25.448,25.688,25.79,26.703,27.295,27.638,27.964,28.391,28.612,28.811,29.305,29.9,30.122,30.383,31.169,31.365,32.32,33.062,34.53,35.558,36.277,37.021,38.127,38.37,38.725,39.281,40.459,41.371,41.923,42.159,43.154,43.229,43.552,43.98,45.172,45.776,46.394,47.136,49.09,49.897,50.75,51.758,54.33,55.423,55.971,56.458,58.212,59.032,59.574,60.047,61.427,61.803,61.968,62.303,62.079,62.719,63.35,63.949,64.291,65.338,65.757,65.556,66.31,66.681,67.304,67.654,67.94,68.262,68.463,68.739,69.001,70.075,70.816,70.903,70.643,72.066,72.574,73.051,73.612,73.997,75.121,75.2,76.721,78.843,79.157,79.289,79.111,79.59,79.994,80.437,81.626,82.778,83.241,84.2,84.693,85.508,86.601,86.306,87.083,88.569,88.408,88.593,91.833,92.068,90.484,90.818,91.492,92.646,92.92,93.204,93.999,94.011,94.225,94.332,94.504,95.791,96.443,97.172,98.114,99.421,98.765,100.576,101.238,100.984,101.426,101.841,102.703,105.665,105.449,105.073,105.193,107.966,108.396,108.676,108.853,112.402,113.408,113.734,114.447,116.647,117.681,118.298,118.571,120.763
"58","50","      Consumption expenditures","B542RG3",10.55,9.98,11.217,11.246,10.635,10.294,10.196,10.102,11.036,11.115,10.933,11.37,11.426,11.3,10.88,9.946,11.946,11.294,11.092,11.23,11.766,11.891,12.022,12.248,12.273,12.399,12.272,12.456,12.247,12.52,12.396,12.53,12.997,13.226,12.964,12.992,12.999,13.211,13.45,13.292,13.481,13.72,13.739,14.035,14.503,14.9,14.837,14.952,15.022,14.861,14.609,14.594,14.673,14.664,15.186,15.316,15.541,15.447,15.479,15.525,15.869,15.836,15.872,16.34,16.112,16.172,16.279,16.379,16.74,16.941,17.329,17.369,17.478,17.499,17.634,17.966,18.223,18.237,18.607,18.726,18.729,18.884,18.994,19.201,19.7,19.95,20.382,20.756,20.772,20.909,21.553,21.806,22.888,23.306,23.476,23.526,24.425,25.026,25.339,25.605,26.035,26.233,26.411,26.888,27.467,27.642,27.859,28.611,28.728,29.6,30.2,31.542,32.466,33.11,33.837,34.946,35.144,35.485,36.038,37.245,38.117,38.642,38.835,39.859,39.899,40.19,40.567,41.773,42.288,42.809,43.454,45.335,46.115,46.864,47.773,50.416,51.409,51.805,52.159,53.909,54.667,55.15,55.622,57.076,57.516,57.724,58.11,57.857,58.553,59.216,59.858,60.228,61.36,61.815,61.561,62.388,62.786,63.456,63.797,64.036,64.417,64.63,64.896,65.102,66.244,67.013,67.05,66.635,68.18,68.689,69.177,69.762,70.107,71.32,71.325,72.95,75.283,75.648,75.828,75.654,76.281,76.75,77.285,78.637,79.882,80.383,81.476,82.016,82.918,84.094,83.74,84.574,86.195,85.911,86.094,89.791,90.157,88.438,88.899,89.753,91.167,91.512,91.912,92.852,93.011,93.307,93.497,93.756,95.209,95.976,96.869,97.918,99.422,98.584,100.637,101.357,101.126,101.55,102.138,103.131,106.629,106.456,106.072,106.213,109.394,109.899,110.256,110.507,114.536,115.636,115.981,116.725,119.173,120.334,121.026,121.24,123.759
"59","51","      Gross investment","B798RG3",19.683,20.024,24.35,22.523,22.173,22.449,23.731,23.483,24.277,24.95,21.151,23.152,22.726,22.509,22.502,23.421,24.185,24.342,25.15,24.254,24.934,25.815,26.337,26.211,26.539,25.672,26.22,25.752,25.69,25.179,25.46,25.042,24.865,25.068,25.46,25.509,25.834,26.505,26.975,27.083,27.271,28.147,28.683,28.814,27.775,28.184,28.265,28.397,28.814,28.975,29.031,28.896,29.053,29.194,29.374,29.399,29.172,29.28,29.46,29.646,29.885,30.052,30.111,30.343,30.473,30.702,30.509,31.36,31.692,32.593,32.185,31.942,31.707,31.253,31.285,31.445,31.679,32.113,32.151,32.718,33.092,33.524,33.823,33.871,34.649,35.141,35.357,35.699,35.816,36.377,37.103,37.818,39.11,39.881,40.769,41.358,42.156,42.486,43.034,43.874,44.144,44.535,44.887,45.411,46.01,46.643,47.259,48.156,49.092,50.658,52.608,54.924,56.728,58.011,58.7,59.446,60.067,60.48,60.939,61.558,62.627,63.31,63.891,64.411,64.815,65.375,66.169,67.093,68.341,69.686,71.126,73.386,74.284,75.901,77.587,79.169,80.915,82.686,84.245,85.724,86.948,87.906,88.333,88.789,88.609,88.416,88.268,88.262,88.441,88.79,88.991,89.093,89.46,89.578,89.779,89.955,90.087,90.318,90.712,91.333,91.225,91.349,91.674,92.284,92.861,93.407,93.835,94.613,95.141,95.624,96.02,96.391,96.982,97.491,98.091,98.83,99.488,99.496,99.336,99.145,98.689,98.673,98.532,98.703,99.316,99.561,99.742,99.939,100.189,100.682,100.788,101.169,101.75,102.357,102.569,102.944,102.491,101.69,101.353,100.995,100.588,100.466,100.107,100.03,99.202,99.014,98.726,98.452,98.86,98.93,98.844,99.225,99.458,99.801,100.218,100.523,100.147,100.702,100.093,100.145,99.859,99.404,99.094,99.101,99.316,99.328,99.174,98.908,99.403,99.863,100.088,100.619,101.279,101.549,101.732,102.322,102.717
"60","52","  State and local","B829RG3",8.831,8.981,9.176,9.472,9.814,10.02,10.384,10.546,10.427,10.261,10.243,10.177,10.087,10.162,10.463,10.772,11.147,11.342,11.55,11.7,11.708,11.848,12.085,12.068,12.195,12.154,12.153,12.132,12.099,12.376,12.446,12.518,12.421,12.468,12.679,12.834,13.125,13.305,13.533,13.669,13.808,14.011,14.071,14.059,14.026,14.149,14.232,14.288,14.452,14.473,14.474,14.501,14.64,14.709,14.774,14.83,14.906,15.045,15.148,15.272,15.473,15.544,15.572,15.667,15.796,15.883,15.921,16.046,16.119,16.199,16.273,16.345,16.508,16.605,16.746,16.881,17.11,17.401,17.645,17.874,18.166,18.356,18.608,18.824,19.124,19.355,19.527,19.893,20.198,20.605,20.965,21.353,21.839,22.307,22.701,23.104,23.578,23.98,24.29,24.503,24.992,25.287,25.7,26.117,26.727,27.276,27.686,28.221,29.015,29.993,31.049,31.941,32.574,33.255,33.764,34.329,34.869,35.402,35.758,36.222,36.898,37.553,38.193,38.844,39.422,40.082,40.688,41.243,42.228,43.219,44.704,45.626,46.894,48.216,49.535,50.789,52.38,53.437,54.117,54.904,55.854,56.746,57.613,58.347,58.761,59.392,59.984,60.526,61.478,62.094,62.628,63.145,63.942,64.484,64.972,65.557,65.903,66.174,66.752,67.668,68.505,69.143,69.789,70.007,70.557,71.237,71.822,72.324,73.033,73.704,74.081,74.942,76.108,76.831,77.726,78.764,79.2,79.393,79.918,80.214,80.567,81.167,81.541,81.924,82.726,83.177,83.426,83.848,84.789,85.091,85.735,86.274,87.173,87.678,87.971,88.288,89.285,89.268,89.86,90.422,91.055,91.136,91.405,92.06,92.274,92.612,93.154,93.697,94.162,95.157,96.146,97.205,98.707,99.483,100.504,101.306,102.245,102.789,103.121,103.315,103.997,105.064,105.943,106.734,108.909,108.714,109.582,110.005,111.141,112.496,113.536,114.914,116.291,117.635,120.186,122.568,123.93
"61","53","    Consumption expenditures","B991RG3",7.608,7.736,7.878,8.133,8.434,8.6,8.933,9.107,9.008,8.883,8.916,8.877,8.902,9.006,9.249,9.458,9.704,9.824,10.003,10.161,10.226,10.335,10.523,10.6,10.709,10.722,10.717,10.812,10.887,11.096,11.248,11.306,11.323,11.371,11.44,11.568,11.798,11.892,12.066,12.199,12.355,12.526,12.611,12.676,12.773,12.871,12.925,13.004,13.191,13.285,13.328,13.399,13.597,13.689,13.773,13.848,13.946,14.123,14.255,14.404,14.623,14.679,14.705,14.797,14.957,15.047,15.085,15.22,15.31,15.402,15.488,15.565,15.724,15.795,15.944,16.079,16.347,16.6,16.875,17.107,17.467,17.722,17.976,18.205,18.459,18.714,18.946,19.27,19.541,19.917,20.312,20.663,21.161,21.585,21.953,22.292,22.773,23.165,23.479,23.63,24.152,24.463,24.875,25.262,25.875,26.4,26.764,27.233,27.871,28.587,29.377,30.121,30.707,31.478,32.053,32.671,33.269,33.833,34.236,34.731,35.424,36.117,36.76,37.436,38.014,38.625,39.17,39.666,40.642,41.561,43.038,43.839,45.07,46.335,47.543,48.704,50.264,51.235,51.799,52.518,53.47,54.316,55.186,56.009,56.484,57.231,57.915,58.555,59.657,60.338,60.931,61.519,62.386,62.989,63.512,64.123,64.448,64.623,65.178,66.112,67.016,67.661,68.305,68.49,69.029,69.76,70.361,70.889,71.672,72.35,72.69,73.642,74.936,75.663,76.587,77.809,78.311,78.458,79.052,79.46,79.936,80.583,80.997,81.379,82.207,82.643,82.914,83.328,84.321,84.6,85.215,85.715,86.623,87.102,87.352,87.623,88.723,88.685,89.312,89.94,90.613,90.586,90.867,91.513,91.766,92.183,92.728,93.279,93.769,94.832,95.953,97.06,98.716,99.406,100.514,101.365,102.386,102.999,103.328,103.423,104.15,105.333,106.339,107.275,109.784,109.502,110.55,111.016,112.282,113.491,114.611,116.081,117.462,118.909,121.395,123.722,124.84
"62","54","    Gross investment","B799RG3",13.624,13.858,14.339,14.792,15.273,15.649,16.101,16.168,15.967,15.622,15.379,15.202,14.629,14.579,15.105,15.819,16.713,17.204,17.524,17.639,17.417,17.678,18.107,17.717,17.914,17.665,17.679,17.231,16.827,17.347,17.151,17.273,16.799,16.849,17.532,17.786,18.298,18.766,19.185,19.339,19.431,19.752,19.738,19.475,19.027,19.238,19.421,19.405,19.504,19.303,19.171,19.057,19.006,19.004,19.012,19.009,19.016,19.039,19.05,19.101,19.26,19.381,19.422,19.531,19.568,19.653,19.691,19.798,19.824,19.869,19.912,19.975,20.164,20.347,20.475,20.619,20.749,21.175,21.34,21.575,21.682,21.693,21.956,22.147,22.611,22.789,22.79,23.313,23.75,24.284,24.549,25.088,25.552,26.212,26.721,27.398,27.866,28.328,28.635,29.121,29.49,29.72,30.15,30.714,31.319,31.993,32.627,33.484,35.021,37.237,39.581,41.229,42.137,42.382,42.545,42.841,43.084,43.463,43.558,43.836,44.412,44.85,45.466,45.964,46.542,47.468,48.391,49.251,50.27,51.634,53.162,54.687,56.147,57.755,59.639,61.367,63.106,64.597,65.914,67.07,67.996,69.132,69.957,70.137,70.172,70.073,70.108,70.068,70.148,70.4,70.613,70.747,71.16,71.383,71.687,72.132,72.585,73.34,74.026,74.841,75.328,75.929,76.579,76.963,77.559,77.979,78.479,78.852,79.201,79.827,80.381,80.803,81.364,82.057,82.819,82.998,83.14,83.545,83.747,83.518,83.309,83.691,83.871,84.259,84.929,85.455,85.596,86.06,86.748,87.159,87.942,88.656,89.516,90.144,90.636,91.167,91.677,91.757,92.187,92.463,92.925,93.463,93.688,94.388,94.436,94.414,94.946,95.456,95.807,96.512,96.937,97.796,98.672,99.8,100.464,101.064,101.674,101.949,102.295,102.879,103.382,103.991,104.362,104.587,105.444,105.599,105.759,106.013,106.637,108.565,109.289,110.305,111.668,112.609,115.412,118.003,120.335
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Excludes software ""embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
