"","Table 7#2#4U# Price Indexes for Motor Vehicle Output            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194"
"62","54","      Trucks","B707RG3",20.498,20.28,20.28,20.576,20.807,20.955,21.095,21.173,21.168,21.393,21.611,21.697,21.858,22.099,22.34,22.737,23.441,23.605,23.683,23.597,23.669,23.887,24.113,23.887,23.746,23.995,24.322,24.47,24.847,25.454,26.458,27.634,28.428,29.059,29.3,29.93,30.449,30.901,31.594,32.614,33.174,33.275,33.75,35.221,36.055,36.662,37.495,38.274,38.992,39.857,40.487,41.18,42.339,43.421,44.963,46.278,48.921,49.87,49.464,53.191,52.988,52.852,52.174,53.19,53.8,54.071,53.869,55.631,55.159,56.311,56.173,56.914,57.31,57.504,57.494,60.058,63.094,65.256,66.34,66.549,66.907,67.937,67.07,68.978,70.547,71.569,71.094,72.985,73.39,72.728,72.153,73.907,73.448,72.49,73.068,74.845,76.063,76.347,76.134,77.55,77.711,77.208,77.944,78.524,77.967,78.919,79.382,80.693,80.449,81.608,82.143,83.791,84.126,84.716,85.225,85.624,85.425,85.478,86.103,86.188,85.936,85.762,85.85,86.504,86.665,87.323,87.464,87.974,88.597,88.746,89.428,89.626,89.938,90.021,90.504,90.818,90.971,90.942,91.213,91.364,91.511,91.661,91.845,91.873,92.027,92.656,92.781,93.53,93.713,94.314,94.797,95.124,95.156,95.546,95.728,96.151,96.179,96.155,96.33,96.631,96.841,97.054,97.259,98.038,98.334,98.831,99.641,100.663,100.394,99.616,99.712,100.218,100.216,100.823,102.924,102.953,102.833,103.34,99.945,100.304,100.55,101.402,101.57,101.874,101.872,101.211,100.608,100.513,104.873,105.12,104.471
"63",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","55","  Final sales of motor vehicles to domestic purchasers","AB75RG3",30.158,30.373,30.901,31.383,31.338,31.543,31.796,32.093,32.048,32.226,32.457,32.687,32.776,32.976,33.355,34.431,35.35,35.621,35.04,34.473,35.109,35.408,35.627,34.985,35.051,35.503,35.791,35.83,36.095,37.023,38.729,40.155,40.644,41.556,42.026,42.873,43.727,44.296,45.122,46.297,46.651,47.115,47.757,49.25,50.362,50.957,51.945,52.834,54.02,55.263,55.688,56.501,57.933,58.99,60.326,61.409,62.043,64.076,65.234,66.246,66.381,67.071,67.825,67.938,68.815,69.266,69.915,70.686,71.135,71.778,72.291,72.439,73.137,73.64,74.088,74.885,75.39,76.59,77.629,78.814,79.075,79.956,80.804,81.184,80.303,80.665,81.78,82.652,83.333,83.799,83.882,84.552,84.836,84.567,84.675,85.699,87.203,87.719,88.275,88.885,89.025,89.653,90.052,90.539,91.364,92.426,93.574,94.754,95.715,96.784,98.002,98.91,99.427,100.104,100.355,101.017,101.84,102.265,102.887,103.541,103.86,103.756,104.066,104.207,103.498,103.044,103.396,103.41,103.676,103.663,103.854,103.874,103.577,104.04,103.669,103.365,103.262,103.202,102.947,103.384,102.979,102.845,102.91,103.138,101.413,100.769,100.61,100.631,100.847,101.378,100.623,101.466,102.131,102.433,101.201,101.898,102.041,101.63,101.446,101.124,101.085,101.258,101.21,100.89,99.776,98.708,98.245,97.05,97.773,99.448,100.474,102.305,102.57,102.971,103.467,103.722,104.263,106.037,106.532,106.539,106.899,107.332,107.483,108.025,108.255,108.406,108.725,108.584,108.284,108.437,108.611
"65","56","  Private fixed investment in new autos and new light trucks","AB76RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.764,84.28,85.08,85.49,85.087,85.578,86.546,87.061,87.447,87.795,87.795,88.72,89.483,89.254,89.42,90.574,92.192,92.87,93.329,93.84,94.482,95.22,95.75,96.187,96.757,97.566,98.514,99.362,100.186,101.109,102.223,102.756,103.156,103.873,104.186,104.741,105.257,105.691,106.291,106.781,106.963,106.767,106.573,106.335,106.195,105.903,106.263,106.036,106.034,105.986,106.037,106.062,105.671,106.304,106.075,105.561,105.565,105.446,104.98,105.344,104.105,103.494,103.416,103.672,102.529,102.179,101.987,101.715,101.551,101.743,100.828,101.636,102.552,102.493,101.156,101.651,101.804,101.549,101.533,100.8,100.4,100.372,100.385,100.288,99.936,99.386,99.025,97.689,98.235,99.663,100.072,102.031,101.694,101.478,101.798,102.05,102.599,104.513,105.319,105.249,105.537,106.072,106.36,106.737,106.937,107.328,107.633,107.505,107.274,107.772,108.128
"66","57","  Domestic output of new autos","B148RG3",33.841,34.03,34.525,35.014,34.998,35.16,35.358,35.677,35.537,35.741,35.999,36.251,36.231,36.365,36.713,38.061,39.039,39.099,38.422,37.478,38.204,38.37,38.657,37.851,37.984,38.371,38.671,38.494,38.725,39.573,41.374,42.875,43.227,44.528,44.841,45.62,46.594,46.949,47.482,48.587,48.999,49.438,50.113,51.622,52.79,53.22,54.158,55.347,56.785,58.191,58.917,59.708,61.403,62.742,64.227,65.054,65.489,67.432,68.535,69.377,69.918,70.294,71.055,70.949,71.574,72.06,72.618,73.212,73.642,74.073,74.623,74.888,75.757,76.358,76.875,77.315,77.964,79.272,80.398,81.523,81.762,82.211,83.173,83.56,83.109,83.571,84.544,85.059,85.223,85.615,85.368,86.602,87.039,86.573,86.76,87.555,89.264,90.17,90.355,90.758,91.439,92.072,92.642,92.839,93.204,93.819,94.483,95.032,95.986,96.558,97.515,97.945,98.363,98.804,98.886,99.295,99.728,100.17,100.772,100.817,100.838,100.858,100.65,100.245,100.176,99.74,100.234,99.913,99.759,99.289,99.153,99.28,99.268,99.834,99.853,99.412,99.288,99.349,99.079,99.154,98.957,98.438,98.139,98.465,97.392,97.207,96.966,96.82,96.655,97.247,96.635,97.121,97.844,97.854,97.222,98.187,98.61,98.404,98.775,98.731,98.664,98.633,98.649,98.321,97.82,98.305,99.253,99.11,99.523,99.897,99.779,100.801,100.2,99.723,99.715,99.661,100.062,101.615,102.554,103.027,103.058,103.259,103.289,103.338,103.751,103.611,103.383,103.494,103.418,103.492,103.629
"67","58","  Sales of imported new autos","B149RG3",36.478,36.681,37.229,37.751,37.717,37.887,38.138,38.457,38.285,38.514,38.769,39.067,39.117,39.287,39.74,41.237,42.094,42.081,41.182,40.271,41.032,41.212,41.474,40.579,40.742,41.114,41.354,41.183,41.376,42.384,44.274,45.64,45.938,47.102,47.447,48.372,49.39,49.816,50.371,51.446,51.798,52.225,52.897,54.541,55.867,56.209,57.048,58.365,59.695,61.027,61.832,62.613,64.242,65.574,66.905,67.543,67.684,69.751,70.879,71.717,71.884,72.492,73.166,73.081,73.66,74.123,74.676,75.32,75.769,76.234,76.751,77.095,78.014,78.6,79.093,79.602,80.345,81.61,82.839,83.953,84.033,84.584,85.501,85.85,85.412,85.957,87.04,87.539,87.731,88.152,87.933,88.794,89.351,88.926,89.015,89.975,91.64,92.355,92.705,93.184,93.719,94.342,94.908,95.349,95.727,96.394,97.151,97.953,98.687,99.497,100.514,101.053,101.482,102.008,102.019,102.423,102.968,103.304,103.926,104.107,104.018,103.884,103.577,103.178,103.066,102.746,103.019,102.651,102.424,101.989,101.868,101.822,101.798,102.242,102.266,101.83,101.735,101.686,101.324,101.557,100.894,100.341,100.071,100.217,99.005,98.641,98.328,97.988,97.873,98.23,97.519,98.125,98.953,99.071,98.243,99.243,99.759,99.589,99.953,99.659,99.485,99.404,99.329,99.145,98.994,98.942,99.544,98.608,98.971,99.651,99.688,101.691,101.319,100.79,100.78,100.847,101.304,103.677,104.893,104.74,104.711,105.096,105.146,105.558,105.922,105.767,105.643,105.328,105.271,105.418,105.294
"68","59","    Imports from Canada","GAP913",36.406,36.659,37.39,37.788,37.757,37.947,38.161,38.387,38.34,38.655,38.793,39.105,39.31,39.372,40.464,42.047,42.267,42.293,39.259,40.809,41.168,41.338,41.389,40.38,40.915,41.281,41.202,41.485,41.733,43.719,45.345,46.464,46.772,47.317,47.983,49.153,49.604,49.956,50.913,51.797,52.135,52.594,53.659,55.094,56.526,56.949,57.602,58.915,60.784,61.691,62.647,63.477,65.789,66.676,68.133,68.352,68.435,71.323,71.798,73.226,70.591,73.26,73.186,73.585,73.847,74.34,74.838,75.579,76.144,76.309,76.585,77.525,78.884,78.666,79.088,79.801,80.784,82.156,84.065,84.738,83.817,84.475,85.238,85.094,85.757,86.608,87.719,87.87,87.692,88.079,88.923,88.69,89.735,90.313,90.339,91.347,92.354,92.15,93.552,94.212,93.811,94.323,94.54,95.547,95.682,96.373,97.128,97.93,97.261,99.468,100.494,101.003,101.226,101.946,102.117,102.455,103.301,103.21,103.807,104.456,104.149,103.742,103.527,103.221,102.917,103.282,102.543,102.556,102.265,102.129,101.981,101.794,101.858,102.176,102.215,101.806,102.182,101.809,101.34,102.187,100.215,99.971,100.06,100.032,99.223,98.512,98.436,97.975,97.84,98.203,97.59,98.178,98.927,99.239,98.393,99.05,99.686,99.508,99.993,99.592,99.484,99.38,99.46,99.533,99.091,98.965,99.417,98.564,98.763,99.405,99.493,101.574,101.111,100.62,100.599,101.014,101.427,103.77,104.746,104.372,104.408,104.632,104.513,105.304,105.556,105.29,105.642,104.887,105.032,105.615,105.176
"69","60","    Imports from Mexico","GAP1283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.884,78.666,79.088,79.801,80.784,82.156,84.065,84.738,83.817,84.475,85.238,85.094,85.757,86.608,87.719,87.87,87.692,88.079,88.923,88.69,89.735,90.313,90.339,91.347,92.354,92.15,93.552,94.212,93.811,94.323,94.54,95.547,95.682,96.373,97.128,97.93,97.261,99.468,100.494,101.003,101.226,101.946,102.117,102.455,103.301,103.21,103.807,104.456,104.149,103.742,103.527,103.221,102.917,103.282,102.543,102.556,102.265,102.129,101.981,101.794,101.858,102.176,102.215,101.806,102.182,101.809,101.34,102.187,100.215,99.971,100.06,100.032,99.223,98.512,98.436,97.975,97.84,98.203,97.59,98.178,98.927,99.239,98.393,99.05,99.686,99.508,99.993,99.592,99.484,99.38,99.46,99.533,99.091,98.965,99.417,98.564,98.79,99.413,99.499,101.555,101.111,100.62,100.599,101.014,101.427,103.77,104.746,104.372,104.408,104.632,104.513,105.304,105.556,105.29,105.642,104.887,105.032,105.615,105.176
"70","61","  Exports of used autos","GAP1003",27.36,27.834,28.848,29.23,29.765,29.277,29.431,28.829,29.512,29.693,28.593,28.992,28.574,29.244,29.665,30.415,31.181,31.523,31.091,30.575,30.512,30.676,30.845,31.905,33.151,33.586,32.835,31.81,30.513,31.68,35.239,38.259,39.172,39.005,40.637,41.486,41.656,44.692,46.273,47.798,49.817,49.854,47.4,45.841,46.002,47.369,49.831,51.048,51.025,53.762,52.935,50.593,48.177,61.703,53.163,52.632,55.472,62.547,65.153,82.77,40.142,88.172,90.23,83.302,84.544,80.543,80.254,83.068,86.855,92.4,96.458,96.929,95.553,94.315,92.018,91.963,91.333,89.873,89.269,87.999,88.283,91.688,93.707,93.847,94.466,95.24,96.027,96.75,98.852,98.593,96.528,96.068,96.06,95.123,94.765,93.8,94.216,95.123,95.952,95.985,95.524,97.826,100.636,103.029,103.616,106.476,109.526,111.486,109.987,111.257,114.796,119.27,124.824,126.475,125.092,125.453,127.482,125.813,125.007,124.46,124.955,122.579,118.662,117.595,118.368,118.43,119.528,120.137,117.645,118.125,121.176,121.859,120.739,122.094,122.525,125.339,126.207,125.417,124.334,123.995,121.161,119.648,120.304,117.596,116.871,116.441,112.32,104.5,103.793,103.218,104.527,108.39,109.007,109.333,110.325,110.436,110.66,111.066,110.512,108.828,106.796,106.1,106.57,108.175,109.269,107.38,104.345,101.114,97.571,96.431,98.547,106.458,111.41,112.137,113.36,113.034,113.665,116.065,118.732,118.291,117.212,119.69,118.183,115.857,116.75,117.858,117.112,117.997,117.535,118.087,117.042
"71","62","  Imports of used autos","GAP1033",27.328,27.855,28.886,29.244,29.757,29.279,29.429,28.836,29.391,29.708,28.585,28.992,28.585,29.222,29.681,30.404,31.18,31.527,31.093,30.592,30.513,30.683,30.854,31.889,33.141,33.589,32.855,31.822,30.474,31.745,35.219,38.262,39.174,39.011,40.655,41.486,41.672,44.695,46.273,47.8,49.808,49.882,47.421,45.84,46.01,47.369,49.816,51.046,51.013,53.761,52.909,50.587,51.14,52.175,53.581,58.191,61.226,63.584,67.516,71.16,72.33,73.926,76.181,77.227,78.715,79.963,83.589,87.494,89.505,93.04,94.728,94.822,100.861,102.563,101.306,101.36,98.824,94.696,91.41,89.914,88.522,91.688,93.707,93.121,94.504,95.24,96.007,96.731,98.852,98.6,96.526,96.071,96.058,95.118,94.763,93.796,94.218,95.136,95.942,95.988,95.525,97.823,100.626,103.025,103.601,106.449,109.502,111.483,109.986,111.254,114.794,119.267,124.818,126.474,125.091,125.453,127.486,125.8,125.009,124.45,124.915,122.624,118.678,117.596,118.356,118.457,119.528,120.14,117.612,118.163,121.252,121.882,120.73,122.101,122.524,125.324,126.207,125.416,124.334,123.996,121.161,119.648,120.304,117.596,116.865,116.524,112.56,104.677,103.793,103.196,104.307,108.454,109.009,109.395,110.333,110.437,110.608,111.072,110.535,108.732,106.815,106.084,106.56,108.211,109.278,107.417,104.533,100.888,98.367,97.142,98.825,107.671,112.189,113.011,114.218,113.777,114.409,117.418,119.571,119.093,118.045,120.724,119.409,116.648,117.442,118.609,117.928,118.784,118.344,118.869,117.93
