"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174"
"58","50","    Miscellaneous nondurable goods wholesalers","PK42293",80.057,79.869,80.111,80.529,80.528,79.893,79.783,79.707,80.324,79.928,79.835,79.654,79.17,78.873,78.535,78.569,78.912,78.76,79.134,78.933,79.016,79.202,79.217,82.202,82.3,81.969,82.124,82.291,82.224,82.447,82.279,82.551,84.374,84.378,84.416,84.457,84.115,85.727,85.454,85.272,85.582,85.449,85.568,85.909,86.307,87.002,87.063,87.675,90.215,90.17,90.414,89.91,90.499,90.014,89.889,89.787,89.554,89.293,89.68,89.539,89.331,89.184,89.675,90.569,90.666,91.054,91.608,91.971,92.373,92.22,92.131,90.609,90.984,91.703,92.677,92.761,92.951,92.617,91.744,91.922,92.472,92.859,93.614,94.138,94.687,95.268,95.824,96.3,96.272,95.904,96.048,95.659,95.769,95.719,96.052,96.172,97.578,97.658,98.496,99.195,99.6,100.202,100.457,100.661,100.909,101.433,101.869,102.289,103.181,102.927,103.009,103.222,103.269,103.015,103.072,103.076,103.013,103.883,104.758,104.981,105.68,108.367,109.868,110.688,110.927,111.531,112.585,112.529,113.211,114.099,115.6,117.282,120.283,122.598,125.602,128.429,131.374,136.247,140.698,142.587,143.468,140.755,136.796,130.798,126.501,123.466,124.304,124.315,124.691,122.929,120.766,120.369,120.157,120.782,122.126,122.736,123.552,123.786,124.647,125.289,125.571,125.684,125.684,125.947,126.701,128.609,130.636,132.293,134.069,135.444,136.763
"59","51","Retail trade industries","PK443",94.316,94.539,94.506,94.311,94.065,93.872,93.813,93.896,94.051,94.022,93.791,93.682,93.492,93.169,92.782,92.774,92.783,92.687,92.92,92.968,92.72,92.773,92.712,92.677,92.801,92.567,92.627,93.592,93.52,93.611,94.09,94.391,94.738,94.668,94.61,94.908,95.091,95.528,96.338,95.996,95.923,96.422,96.426,95.898,96.584,96.518,96.598,96.7,96.8,96.792,96.549,96.65,97.185,97.208,96.624,96.292,96.546,95.971,95.232,94.733,94.783,94.727,95.236,95.891,95.709,95.602,95.731,95.873,95.82,95.995,95.901,95.722,96.151,96.755,96.692,95.831,94.846,94.897,95.299,95.734,96.225,95.677,95.72,95.906,96.462,96.85,97.134,97.17,97.768,98.024,97.751,97.605,97.868,98.531,98.953,98.754,98.575,98.854,99.143,99.557,99.103,99.097,99.725,100.391,102.089,101.914,100.858,100.698,101.332,101.161,101.173,101.677,101.798,101.723,102.147,102.525,101.59,100.657,100.601,101.134,101.083,101.526,102.247,102.45,102.849,102.902,103.026,102.716,103.142,103.418,104.631,104.949,105.34,105.458,105.917,106.125,106.788,108.01,109,108.55,108.591,106.715,102.814,100.742,101.086,101.77,101.443,101.601,101.742,103.24,103.121,103.626,103.871,103.983,104.344,104.606,105.251,105.122,105.189,104.896,104.365,103.835,104.15,104.449,104.601,104.92,104.985,105.497,106.218,106.951,107.69
"60","52","  Motor vehicle and parts dealers","PK4413",97.542,97.916,98.18,97.751,97.571,97.356,97.469,97.418,97.542,97.866,97.448,97.284,97.383,97.206,96.979,97.096,96.654,96.525,97.073,97.257,97.356,97.34,97.691,97.694,97.708,97.597,97.581,97.597,97.658,97.873,98.229,98.477,98.676,98.639,98.73,98.439,98.498,98.482,98.843,98.937,99.202,99.283,99.071,98.692,98.959,99.076,99.384,99.908,100.032,99.92,99.919,99.892,99.971,99.961,100.236,100.149,99.081,99.985,100.135,100.204,100.003,99.658,99.689,99.835,99.912,99.66,99.964,100.082,100.125,100.226,100.008,99.765,99.075,98.816,98.889,98.705,98.506,98.271,98.275,97.785,97.598,96.804,96.874,96.918,97.147,97.549,97.773,97.984,98.231,98.412,97.976,97.488,98.012,98.134,98.819,99.088,99.222,99.358,99.457,99.664,100.014,100.158,100.012,99.786,100.104,100.668,100.731,100.907,101.047,101.06,101.153,101.26,101.194,101.099,101.407,101.51,101.266,101.357,101.141,100.96,101.052,100.921,101.129,101.13,101.11,101.07,101.213,101.3,101.452,101.544,101.909,101.835,101.784,101.523,101.384,101.285,101.424,101.294,101.498,101.261,101.116,100.681,100.215,99.506,99.492,99.697,99.976,100.301,100.753,101.34,101.156,101.521,102.152,102.999,103.527,103.826,104.036,104.309,104.415,104.436,104.463,104.827,104.965,104.989,105.038,104.903,105.08,105.032,105.272,105.834,106.3
"61","53","  Furniture, furnishings, electronics, and appliance stores","PK44233",145.712,145.927,145.633,144.573,144.651,144.563,143.636,142.86,142.788,142.395,141.721,141.592,140.909,140.44,140.623,140.854,139.655,139.22,139.149,138.079,137.428,136.953,135.925,135.39,135.231,134.637,134.053,134.159,133.004,132.538,132.254,131.356,130.901,130.128,129.287,129.055,128.953,128.591,128.85,128.276,128.367,127.697,127.601,126.806,127.207,126.568,125.95,125.276,124.786,124.331,123.277,123.079,122.007,121.536,121.157,120.199,119.717,119.233,118.809,118.162,117.707,116.969,116.495,116.316,116.213,115.709,115.094,114.596,113.974,113.609,112.813,112.233,111.713,111.157,110.646,110.334,109.139,108.524,108.2,107.536,106.97,106.881,106.44,105.972,105.896,105.809,105.486,105.249,104.664,104.612,103.873,103.28,103.055,103.002,102.357,101.825,101.855,101.236,101.35,101.29,101.076,100.291,99.941,99.272,98.989,98.589,98.345,98.241,97.903,97.508,97.22,96.816,96.174,95.632,95.345,95.255,94.521,94.329,93.812,93.35,92.708,92.728,92.374,91.843,91.316,91.017,90.391,89.741,89.406,88.935,88.281,87.899,87.815,87.477,87.374,86.287,85.901,85.757,85.584,85.396,85.129,84.658,83.959,83.246,82.859,82.592,82.275,82.018,81.621,81.201,80.157,79.036,78.738,78.053,77.719,77.287,76.771,75.929,75.721,75.21,74.744,74.235,73.788,73.292,73.107,72.856,72.319,71.625,71.361,71.241,70.888
"62","54","  Building material and garden equipment and supplies dealers","PK4443",96.397,97.037,97.598,97.642,97.963,97.461,97.458,97.171,97.006,96.052,96.056,95.803,95.699,95.698,95.622,95.228,94.508,93.792,93.986,94.162,93.204,92.342,92.261,92.478,92.621,93.03,93.377,93.392,93.82,94.847,95.962,95.502,94.453,93.613,93.678,94.036,94.239,94.352,94.881,94.501,93.654,93.613,93.352,92.562,92.678,92.773,92.748,92.776,92.719,92.723,92.817,92.657,94.001,94.316,93.395,93.502,93.263,92.126,91.601,91.23,91.488,91.807,92.535,92.683,92.339,92.169,92.276,92.46,92.159,91.688,91.645,91.525,91.558,92.038,91.971,91.88,91.938,92.023,92.63,92.855,94.527,94.624,94.875,94.763,95.203,96.823,98.095,99.316,100.178,99.156,98.873,99.832,99.91,98.708,97.67,97.971,98.709,99.652,100.1,100.252,99.577,100.399,100.119,99.724,100.466,100.898,99.911,100.136,100.86,101.31,101.361,101.347,101.348,100.537,100.18,99.622,99.788,98.866,99.399,99.951,100.427,101.07,101.554,101.416,101.251,101.654,101.847,101.204,101.065,100.944,100.83,101.12,101.237,101.593,102.233,102.625,103.676,103.886,104.388,104.719,104.894,104.196,102.856,102.296,101.148,100.393,99.828,100.063,100.191,100.094,100.149,99.166,99.171,98.928,99.044,99.445,99.796,100.741,101.458,102.248,102.962,101.776,101.121,100.583,100.312,100.471,100.725,101.032,101.871,102.458,103.087
"63","55","  Food and beverage stores","PK4453",82.748,83.117,83,83.087,83.02,83.095,83.153,83.288,83.383,83.475,83.652,83.627,83.92,83.941,83.913,84.127,84.368,84.368,84.59,84.827,84.839,85.164,85.203,85.634,86.12,86.109,85.958,86.331,86.378,86.441,86.664,86.806,87.268,87.312,87.518,87.606,87.7,87.969,88.318,88.526,88.87,88.959,89.418,89.667,89.859,89.86,89.946,90.389,90.472,91.002,91.142,91.4,91.566,91.917,92.254,92.279,92.527,92.683,92.619,92.427,92.808,93.163,93.261,93.754,93.212,93.277,93.411,93.447,93.5,93.399,93.674,93.648,93.836,94.255,94.465,94.35,94.282,94.845,95.044,95.424,95.696,95.89,96.334,96.815,96.69,96.814,97.186,97.334,98.048,98.213,98.312,98.4,98.277,98.942,99.34,99.231,98.995,98.875,99.072,99.869,99.913,99.802,100.072,100.195,100.504,100.665,100.929,101.08,101.404,101.334,101.458,101.393,101.52,101.835,102.049,102.312,102.581,102.733,102.601,102.632,103.25,104.048,104.488,104.847,105.173,105.625,105.848,106.11,106.506,106.92,107.441,107.724,108.392,108.821,109.195,110.367,110.88,111.632,112.757,113.354,113.928,114.141,114.094,113.961,114.098,113.979,113.956,113.962,113.604,113.825,113.421,113.562,113.345,113.439,113.542,113.763,113.936,114.144,114.513,114.619,114.649,114.437,114.523,114.678,114.994,115.142,115.139,115.449,116.033,116.929,117.822
"64","56","  Clothing and clothing accessories stores","PK4483",113.853,113.542,113.678,114.49,114.883,114.545,114.23,112.983,113.146,112.849,112.724,112.862,112.455,111.64,111.122,111.001,111.445,111.123,111.143,112.404,111.033,111.098,111.301,110.393,110.043,109.415,108.93,110.079,110.115,110.073,109.957,109.656,109.715,109.811,109.542,109.64,109.198,109.019,109.031,108.672,108.338,107.96,107.732,107.55,108.035,108.07,108.087,107.883,108.436,108.499,108.596,107.52,106.668,106.969,106.913,106.107,105.467,105.645,105.275,104.98,104.626,104.528,105.144,104.988,104.518,104.075,103.686,104.227,103.628,103.331,103.26,102.956,102.383,102.197,101.278,101.092,100.84,101.221,101.617,101.522,101.428,101.479,101.211,100.561,100.768,100.756,100.995,101.195,101.408,101.608,101.405,100.784,100.527,100.803,101.053,100.577,100.622,100.58,100.764,100.303,100.293,99.781,99.462,99.953,99.836,99.517,99.661,99.326,99.482,98.721,99.443,100.045,100.32,100.482,99.725,100.47,100.672,100.388,100.113,100.398,100.858,101.348,100.886,100.134,100.175,100.1,99.708,99.248,99.432,99.977,100.364,100.814,101.049,100.48,100.027,100.231,100.148,100.033,100.898,101.377,101.392,100.841,100.836,100.272,100.183,100.773,100.934,101.11,100.713,101.513,101.859,101.774,102.293,101.856,101.526,101.967,101.777,101.125,101.147,100.451,100.474,100.909,101.549,101.675,100.893,100.56,100.736,100.836,101.814,101.032,100.553
"65","57","  General merchandise stores","PK4523",102.464,102.478,102.503,102.879,102.959,102.82,102.674,102.167,102.273,102.19,102.225,102.136,102.205,102.033,101.869,102.032,102.194,101.965,102.12,102.492,102.003,102.197,102.108,102.017,102.305,101.92,101.609,102.155,102.103,102.179,102.218,102.131,102.351,102.34,102.235,102.263,102.19,102.099,102.335,102.332,102.416,102.308,102.494,102.404,102.547,102.465,102.493,102.515,102.751,102.932,102.772,102.705,102.281,102.521,102.619,102.314,102.378,102.333,102.281,101.945,101.927,101.989,101.946,102.173,101.743,101.558,101.408,101.503,101.254,101.027,100.987,100.71,100.506,100.463,100.245,100.18,99.859,100.015,100.203,100.17,100.121,100.138,100.113,99.961,99.995,100.09,100.239,100.275,100.405,100.404,100.261,99.983,99.871,100.232,100.333,99.992,100.053,99.965,100.01,100.242,100.324,100.004,99.929,99.912,99.865,99.874,99.929,99.911,100.008,99.817,99.996,100.036,100.059,100.033,99.88,100.043,100.088,100.03,99.71,99.71,99.731,99.977,100.003,99.79,99.726,99.737,99.632,99.256,99.239,99.569,99.767,99.783,100.064,99.988,100.05,100.163,100.258,100.324,100.665,100.842,101.127,101.036,100.661,100.319,100.447,100.698,100.761,100.769,100.689,100.773,100.515,100.181,100.168,99.786,99.365,99.233,99.324,99.047,99.068,98.732,98.368,98.208,98.141,97.986,97.817,97.614,97.33,97.124,97.5,97.571,97.546
"66","58","    Department stores","PK45213",108.834,108.746,108.79,109.287,109.423,109.236,108.988,108.278,108.385,108.231,108.239,108.159,108.15,107.841,107.63,107.744,107.93,107.641,107.766,108.279,107.542,107.739,107.655,107.231,107.408,106.911,106.569,107.221,107.179,107.269,107.233,107.108,107.24,107.254,107.07,107.121,106.938,106.718,106.92,106.784,106.782,106.644,106.708,106.509,106.64,106.563,106.518,106.458,106.754,106.86,106.631,106.35,105.688,105.913,105.871,105.461,105.449,105.359,105.244,104.886,104.735,104.695,104.688,104.767,104.393,104.094,103.82,104.004,103.604,103.398,103.265,102.882,102.522,102.331,101.918,101.859,101.481,101.573,101.8,101.672,101.554,101.537,101.32,100.914,100.998,101.065,101.158,101.173,101.174,101.167,100.916,100.476,100.352,100.681,100.737,100.221,100.428,100.367,100.419,100.416,100.479,100.067,99.829,99.824,99.613,99.542,99.56,99.465,99.506,99.164,99.488,99.626,99.632,99.546,99.2,99.413,99.448,99.301,98.873,98.898,98.858,99.04,98.941,98.599,98.439,98.279,98.138,97.681,97.618,97.94,98.077,98.079,98.301,98.004,97.831,97.78,97.777,97.744,97.975,98.138,98.273,97.984,97.648,97.183,97.324,97.593,97.603,97.589,97.491,97.557,97.342,97.043,96.973,96.486,95.971,95.826,95.892,95.489,95.451,95.041,94.663,94.574,94.553,94.304,93.995,93.67,93.344,93.074,93.532,93.252,92.931
"67","59","    Other general merchandise stores","PK45293",95.398,95.591,95.583,95.759,95.743,95.684,95.709,95.538,95.644,95.679,95.76,95.654,95.855,95.905,95.813,96.055,96.182,96.04,96.245,96.41,96.287,96.482,96.383,96.79,97.248,97.018,96.745,97.148,97.08,97.137,97.284,97.249,97.596,97.548,97.548,97.55,97.619,97.7,97.985,98.153,98.351,98.283,98.623,98.666,98.827,98.739,98.855,98.976,99.143,99.412,99.331,99.503,99.34,99.597,99.849,99.651,99.797,99.797,99.809,99.493,99.606,99.77,99.689,100.062,99.575,99.498,99.464,99.477,99.365,99.119,99.165,98.98,98.916,99.001,98.949,98.881,98.608,98.821,98.976,99.023,99.031,99.076,99.206,99.255,99.25,99.366,99.561,99.612,99.841,99.844,99.782,99.627,99.524,99.909,100.044,99.833,99.786,99.677,99.718,100.118,100.213,99.957,99.996,99.969,100.034,100.098,100.179,100.212,100.346,100.255,100.338,100.314,100.348,100.36,100.331,100.461,100.514,100.512,100.261,100.245,100.303,100.589,100.693,100.562,100.557,100.674,100.592,100.267,100.279,100.613,100.85,100.877,101.196,101.25,101.453,101.663,101.814,101.938,102.345,102.529,102.902,102.926,102.527,102.255,102.374,102.613,102.706,102.725,102.654,102.748,102.464,102.111,102.128,101.803,101.432,101.306,101.411,101.198,101.25,100.951,100.591,100.395,100.306,100.197,100.096,99.952,99.687,99.513,99.85,100.092,100.211
"68","60","  Other retail stores","PK44X3",81.355,81.422,81.009,80.489,79.636,79.37,79.271,80.145,80.499,80.448,79.986,79.865,79.077,78.368,77.383,77.141,77.627,77.814,77.882,77.471,77.322,77.536,77.163,76.995,77.048,76.593,77.115,79.797,79.528,79.375,80.346,81.451,82.472,82.567,82.352,83.52,84.124,85.645,87.704,86.523,86.065,87.942,87.933,86.687,88.511,88.277,88.317,88.096,88.169,87.916,87.186,87.733,89.598,89.298,87.06,86.391,88.406,85.847,83.407,82.127,82.347,82.276,83.771,85.601,85.603,85.724,86.064,86.338,86.512,87.479,87.375,87.296,89.618,91.799,91.798,89.087,86.188,86.225,87.257,89.166,90.615,89.202,89.129,89.833,91.514,91.967,92.145,91.612,92.926,93.898,93.594,93.538,94.208,96.343,97.427,96.801,95.863,96.708,97.348,98.214,96.447,96.502,99.071,101.844,107.495,106.292,102.569,101.776,103.563,103.144,102.849,104.575,105.081,105.102,106.702,107.833,104.547,101.421,101.653,103.616,102.943,103.832,106.084,107.1,108.625,108.58,109.041,108.37,109.703,110.28,114.185,115.16,116.071,116.647,118.149,118.428,120.197,124.289,126.605,124.556,124.383,118.368,105.694,99.638,101.03,103.276,102.075,102.345,102.922,107.616,107.823,110.103,110.586,110.933,112.202,112.779,114.946,114.491,114.304,113.454,111.604,110.001,111.187,112.547,113.358,114.806,115.114,117.101,118.646,120.529,122.552
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
