"","Table 1#6#4# Price Indexes for Gross Domestic Purchases         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"63","54","  Final sales of computers to domestic purchasers \2\","W489RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20546.415,18476.575,16966.544,15926.583,15947.561,15545.311,14683.071,13667.155,13000.673,12021.915,11143.971,10556.33,10453.634,10426.707,10275.576,9965.263,9315.785,9290.435,9179.216,9108.007,8324.093,7776.023,7297.03,7009.961,6595.881,6283.273,6030.133,5863.695,5619.475,5393.864,5200.721,4960.137,4602.528,4466.301,4507.444,4470.013,4134.843,3899.295,3731.216,3740.436,3701.735,3605.061,3548.144,3517.032,3492.722,3375.427,3328.227,3215.58,3066.932,3018.499,3010.406,2952.07,2863.11,2759.855,2575.493,2478.051,2407.677,2281.309,2162.711,2081.992,2008.385,1907.679,1825.079,1748.05,1714.118,1682.91,1631.151,1548.767,1476.126,1411.309,1322.469,1234.501,1139.161,1038.233,977.068,914.248,844.043,788.661,733.144,685.99,625.154,574.173,522.728,483.003,450.187,424.996,402.9,386.469,374.03,359.016,347.22,335.327,306.423,291.069,274.557,259.476,248.455,241.992,233.291,223.034,214.324,207.367,200.153,196.026,193.036,189.823,184.462,177.775,170.76,164.632,158.369,152.498,146.973,140.982,136.817,133.67,130.449,126.925,122.723,119.003,115.154,112.535,109.972,107.017,104.121,101.09,98.07,96.72,95.896,95.01,94.419,93.55,91.249,89.615,87.54,86.259,85.481,84.686,84.201,82.895,82.02,81.261,80.491,79.941,79.314,79.086,78.224,77.225
"64","55","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.291,34.965,35.588,36.28,36.983,37.915,38.878,39.834,40.928,41.934,42.916,44.071,45.224,46.037,46.772,47.621,48.241,48.761,49.427,49.952,50.294,50.642,51.181,51.499,52.067,52.549,52.941,53.256,53.815,54.171,54.556,54.976,55.305,55.376,55.684,56.054,56.543,57.024,57.506,57.968,58.449,59.044,59.629,60.199,60.859,61.576,61.957,62.439,63.256,63.784,64.493,65.285,65.714,66.023,66.481,66.874,67.242,67.723,68.161,68.614,69.002,69.459,69.782,70.176,70.517,70.921,71.396,71.825,72.287,72.711,73.044,73.414,73.861,74.206,74.57,75.03,75.433,75.667,75.926,76.22,76.278,76.471,76.788,77.095,77.452,77.944,78.387,78.924,79.679,80.109,80.689,81.184,81.764,82.184,82.378,82.514,82.789,83.33,83.733,84.246,85.036,85.147,85.668,86.116,86.976,87.741,88.447,89.286,90.037,90.779,91.876,92.779,93.458,94.259,94.941,95.115,96.144,96.842,97.372,98.247,99.165,100.137,101.105,100.2,99.61,99.708,100.058,100.624,101.082,101.34,101.674,102.262,103.045,104.04,104.555,104.817,105.439,105.734,106.067,106.541,106.875,107.088,107.548,107.942,108.315,108.846,109.232,109.202
"65","56","  Food \3\","B981RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.884,53.29,53.527,53.267,53.302,53.776,53.736,54.007,55.163,55.204,55.513,55.441,55.697,55.536,55.431,55.83,56.143,56.331,57.114,57.541,58.159,58.654,58.83,58.804,58.964,59.34,60.282,60.81,61.738,62.86,63.432,63.886,65.308,65.456,66.364,66.747,67.663,68.337,68.036,67.955,68.106,68.249,68.703,68.78,68.835,69.328,69.539,69.953,70.096,70.238,70.854,71.008,71.455,72.037,72.219,72.487,73.017,73.771,74.608,75.068,75.089,75.215,75.451,75.613,75.81,75.99,76.242,76.687,76.99,77.201,77.501,77.94,78.38,78.892,79.633,79.952,80.688,81.191,81.875,82.246,82.69,82.776,82.578,82.769,83.225,83.77,84.438,85.45,85.864,86.783,87.151,87.717,87.491,88.341,88.423,88.925,89.36,89.376,89.94,90.288,91.456,92.705,93.775,94.852,96.05,97.982,100.182,101.456,100.995,100.01,99.491,99.504,99.876,100.176,100.389,100.959,102.197,103.676,104.984,105.711,106.057,106.323,106.448,106.923,107.32,107.46,107.754,107.479,107.816,108.919,109.545,110.052
"66","57","  Energy goods and services","B982RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.979,48.856,50.407,50.898,49.648,50.593,51.084,50.848,51.075,51.288,50.893,51.076,51.109,51.918,51.561,51.772,49.917,44.769,43.271,42.279,44.622,45.133,46.384,46.273,45.641,45.697,46.227,46.163,46.838,50.147,49.087,48.579,50.75,50.186,52.62,57.554,54.301,52.425,52.255,52.925,52.378,52.813,53.518,54.15,54.091,53.731,53.15,53.801,53.425,52.975,54.452,54.694,54.584,54.533,54.255,53.887,55.444,57.294,56.615,57.918,59.009,56.559,56.907,57.159,53.872,52.598,52.198,51.468,50.783,53.743,56.139,58.023,62.071,63.622,65.661,67.077,68.632,69.658,66.201,60.296,58.701,62.372,63.246,65.186,71.805,67.606,70.542,70.648,74.627,76.013,78.334,83.663,83.249,85.273,97.645,100.742,100.481,103.561,107.131,96.945,100.755,107.787,108.755,115.433,120.587,129.631,138.157,106.704,93.84,95.154,103.244,107.761,109.88,107.295,108.819,115.275,122.387,130.126,130.192,128.954,129.871,127.957,129.041,131.742,129.818,127.061,129.176,128.321,129.211,130.827,129.378,120.566
"67","58","  Gross domestic purchases excluding food and energy","B983RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.581,51.237,51.911,52.532,52.982,53.267,53.848,54.198,54.733,55.261,55.702,56.053,56.666,57.03,57.491,57.916,58.342,58.679,59.069,59.522,59.871,60.333,60.787,61.334,61.911,62.557,63.13,63.753,64.413,64.962,65.411,65.941,66.639,67.262,67.889,68.512,69.092,69.479,69.997,70.397,70.821,71.307,71.707,72.163,72.582,73.054,73.407,73.762,74.148,74.61,75.012,75.436,75.897,76.301,76.617,76.968,77.277,77.429,77.753,78.107,78.417,78.71,78.883,79.112,79.211,79.374,79.619,79.873,80.193,80.52,80.817,81.251,81.849,82.18,82.65,83.076,83.501,83.835,84.094,84.413,84.707,85.119,85.498,85.927,86.461,86.694,87.074,87.482,88.226,88.939,89.57,90.213,91.019,91.669,92.36,93.164,93.853,94.567,95.113,95.634,96.521,96.923,97.372,97.991,98.706,99.306,99.917,99.913,99.772,99.873,99.961,100.394,100.777,101.12,101.406,101.765,102.268,102.977,103.437,103.707,104.318,104.676,104.986,105.366,105.756,106.06,106.461,106.921,107.267,107.723,108.141,108.343
"68","59","  Gross domestic product","B191RG3",21.259,21.54,21.847,22.12,22.425,22.749,22.935,23.234,23.589,23.905,24.146,24.345,24.742,24.891,25.111,25.394,25.72,26.142,26.631,27.092,27.644,28.262,29.124,30.008,30.686,31.134,31.688,32.216,32.563,32.889,33.309,33.868,34.411,34.952,35.437,36.034,36.637,37.338,37.987,38.759,39.47,40.411,41.235,42.044,42.955,43.895,44.903,46.165,47.358,48.197,49.096,49.98,50.652,51.278,52.001,52.566,53.013,53.371,53.929,54.32,54.885,55.37,55.827,56.174,56.839,57.161,57.528,57.837,58.118,58.334,58.606,58.96,59.306,59.694,60.135,60.605,61.075,61.681,62.426,62.961,63.602,64.271,64.744,65.174,65.901,66.58,67.18,67.702,68.373,68.832,69.328,69.694,70.014,70.457,70.785,71.275,71.704,72.136,72.504,72.913,73.291,73.652,74.021,74.44,74.89,75.226,75.548,75.908,76.296,76.584,76.932,77.257,77.637,77.998,78.225,78.493,78.606,78.786,79.071,79.278,79.575,79.908,80.191,80.585,81.184,81.631,82.154,82.591,83.117,83.699,83.97,84.233,84.48,84.829,85.204,85.649,86.184,86.463,86.932,87.363,88.115,88.856,89.438,90.063,90.894,91.549,92.399,93.098,93.816,94.589,95.25,95.591,96.659,97.216,97.538,97.945,98.506,98.941,99.619,99.805,100.045,99.889,99.882,100.183,100.517,100.981,101.444,101.963,102.409,103.17,103.77,103.913,104.461,104.937,105.475,105.821,106.172,106.495,106.943,107.347,107.694,108.261,108.643,108.675
"69","60","      Gross domestic product excluding final sales of computers","BB00RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.521,35.202,35.831,36.575,37.251,38.15,38.946,39.731,40.612,41.529,42.512,43.733,44.876,45.68,46.543,47.397,48.059,48.659,49.357,49.904,50.37,50.746,51.316,51.716,52.29,52.784,53.251,53.607,54.275,54.613,54.989,55.315,55.627,55.854,56.111,56.46,56.841,57.247,57.696,58.151,58.614,59.222,59.955,60.481,61.103,61.779,62.248,62.694,63.437,64.107,64.69,65.209,65.874,66.339,66.862,67.237,67.562,68.032,68.39,68.894,69.341,69.791,70.178,70.601,70.984,71.348,71.725,72.176,72.658,73.02,73.396,73.806,74.261,74.621,75.023,75.415,75.864,76.285,76.575,76.891,77.081,77.333,77.72,77.994,78.363,78.738,79.069,79.508,80.149,80.632,81.189,81.65,82.265,82.882,83.193,83.494,83.782,84.159,84.568,85.046,85.604,85.905,86.4,86.838,87.598,88.344,88.943,89.596,90.459,91.146,92.02,92.747,93.488,94.292,94.978,95.341,96.429,97.011,97.37,97.805,98.39,98.852,99.548,99.754,100.014,99.879,99.901,100.206,100.552,101.023,101.499,102.026,102.486,103.257,103.875,104.027,104.578,105.063,105.616,105.977,106.338,106.674,107.135,107.545,107.899,108.471,108.868,108.911
"70","61","      Food \3\","BB10RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.445,55.312,55.095,55.232,55.187,55.504,55.852,56.448,57.096,57.675,57.628,57.942,58.013,59.006,60.655,60.793,61.819,62.902,63.359,63.706,64.796,65.124,65.746,65.869,66.818,67.51,67.137,67.23,67.226,67.546,67.788,67.8,68.007,68.44,68.741,69.18,69.51,69.42,69.506,69.626,70.115,71.008,71.708,72.456,73.256,74.408,75.024,74.707,74.716,74.766,74.885,74.934,74.894,74.957,75.201,75.513,75.866,76.027,76.339,76.672,77.107,77.766,78.311,78.846,79.547,80.114,81.053,81.207,81.658,81.703,81.781,81.91,82.313,83.06,83.747,85.238,85.802,87.018,86.635,86.717,86.51,87.496,87.617,87.834,88.243,88.352,88.979,89.477,91.048,92.364,93.529,95.044,97.119,99.597,101.606,101.069,100.755,100.432,99.624,99.189,99.428,99.382,99.756,100.914,102.403,103.569,105.209,105.642,106.01,106.848,108.424,109.016,109.114,108.752,108.665,107.888,108.268,109.961,109.724,109.228
"71","62","      Energy goods and services","BB11RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.427,76.872,77.464,77.783,78.617,77.41,76.907,73.295,74.373,73.305,75.076,76.115,77.069,77.565,79.945,81.733,79.512,82.659,82.697,80.592,82.119,86.842,86.453,85.749,89.107,89.066,90.666,92.181,91.259,89.932,90.643,93.824,93.119,92.813,94.628,98.193,97.723,95.233,96.229,98.772,96.032,95.002,96.721,96.188,96.464,97.978,96.025,94.746,96.357,98.907,100.313,100.82,98.625,98.863,99.891,99.004,98.404,97.521,96.263,93.108,92.785,96.39,97.497,95.553,102.578,113.893,110.487,105.388,100.691,97.553,98.276,99.011,99.018,102.193,108.524,106.528,107.567,106.085,106.273,105.83,104.969,102.092,113.828,105.155,105.979,110.977,118.273,106.887,112.801,119.878,112.188,95.658,81.687,75.25,74.333,102.093,117.846,100.862,93.482,87.81,85.885,92.058,99.651,102.853,96.66,98.336,101.463,96.601,92.766,97.668,104.178,101.217,98.337,98.868,98.391,98.318,99.298,100.264,99.592,95.054
"72","63","      Gross domestic product excluding food and energy","BB03RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.568,56.895,57.306,57.631,57.925,58.175,58.463,58.906,59.21,59.624,60.068,60.536,61.024,61.604,62.24,62.774,63.462,64.037,64.523,65.024,65.704,66.312,66.935,67.52,68.101,68.558,69.093,69.452,69.827,70.324,70.649,71.11,71.584,72.035,72.372,72.703,73.106,73.568,73.943,74.336,74.856,75.184,75.448,75.803,76.167,76.37,76.75,77.154,77.532,77.868,78.077,78.354,78.525,78.711,78.984,79.209,79.522,79.889,80.199,80.663,81.287,81.665,82.176,82.65,83.051,83.443,83.74,84.107,84.427,84.853,85.239,85.698,86.25,86.452,86.811,87.223,87.983,88.734,89.377,90.048,90.964,91.654,92.385,93.246,93.983,94.729,95.295,95.807,96.774,97.186,97.582,98.177,98.868,99.3,99.915,99.807,99.748,99.835,99.974,100.444,100.868,101.265,101.599,102.022,102.541,103.252,103.734,103.969,104.637,104.989,105.324,105.739,106.182,106.537,107.04,107.525,107.853,108.345,108.794,108.991
"73","64","  Final sales of domestic product","B190RG3",21.134,21.414,21.722,21.993,22.296,22.62,22.807,23.104,23.455,23.77,24.012,24.212,24.61,24.758,24.974,25.255,25.584,26.003,26.49,26.957,27.501,28.109,28.959,29.847,30.518,30.97,31.521,32.052,32.403,32.727,33.145,33.703,34.246,34.784,35.281,35.883,36.483,37.184,37.827,38.593,39.303,40.243,41.059,41.862,42.768,43.702,44.711,45.967,47.136,47.971,48.872,49.765,50.445,51.074,51.795,52.362,52.799,53.161,53.723,54.105,54.663,55.144,55.606,55.966,56.64,56.968,57.341,57.65,57.936,58.162,58.439,58.783,59.123,59.507,59.949,60.429,60.911,61.52,62.277,62.806,63.445,64.115,64.586,65.019,65.746,66.431,67.03,67.565,68.229,68.692,69.179,69.545,69.872,70.316,70.644,71.134,71.568,71.996,72.359,72.774,73.147,73.514,73.892,74.309,74.756,75.092,75.418,75.787,76.185,76.475,76.82,77.155,77.536,77.907,78.145,78.419,78.548,78.735,79.025,79.234,79.535,79.875,80.161,80.558,81.164,81.616,82.141,82.582,83.103,83.69,83.96,84.219,84.461,84.813,85.193,85.641,86.182,86.461,86.931,87.363,88.114,88.856,89.438,90.061,90.896,91.555,92.41,93.106,93.823,94.6,95.258,95.598,96.67,97.229,97.552,97.952,98.518,98.957,99.669,99.759,100.013,99.879,99.897,100.21,100.534,100.985,101.441,101.95,102.406,103.176,103.774,103.921,104.477,104.95,105.49,105.835,106.188,106.515,106.963,107.38,107.742,108.316,108.713,108.731
"74","65","  Final sales to domestic purchasers","B713RG3",20.602,20.878,21.171,21.437,21.745,22.052,22.266,22.564,22.902,23.21,23.469,23.676,24.052,24.221,24.449,24.723,25.048,25.51,25.97,26.466,27.154,27.92,28.755,29.589,30.221,30.683,31.19,31.706,32.055,32.386,32.83,33.361,33.965,34.537,35.079,35.689,36.278,36.975,37.617,38.332,39.075,40.054,41.055,42.044,43.183,44.221,45.239,46.436,47.62,48.47,49.241,50.134,50.773,51.324,52.018,52.568,52.885,53.227,53.767,54.072,54.631,55.105,55.498,55.824,56.394,56.751,57.139,57.553,57.863,57.929,58.258,58.63,59.091,59.556,60.035,60.524,61.029,61.635,62.243,62.823,63.502,64.226,64.61,65.091,65.91,66.454,67.186,68.009,68.428,68.732,69.157,69.54,69.91,70.373,70.791,71.234,71.613,72.046,72.342,72.724,73.056,73.463,73.938,74.336,74.768,75.165,75.451,75.774,76.163,76.427,76.735,77.147,77.476,77.65,77.845,78.077,78.052,78.161,78.386,78.611,78.896,79.331,79.717,80.213,80.941,81.333,81.879,82.339,82.819,83.194,83.333,83.415,83.645,84.164,84.538,85.013,85.773,85.855,86.346,86.775,87.619,88.368,89.047,89.852,90.567,91.28,92.346,93.21,93.851,94.614,95.262,95.412,96.416,97.087,97.585,98.419,99.303,100.249,101.22,100.209,99.621,99.712,100.055,100.613,101.05,101.286,101.605,102.169,102.932,103.912,104.4,104.65,105.265,105.545,105.871,106.325,106.649,106.855,107.301,107.699,108.075,108.605,108.992,108.938
"75","66","  Implicit price deflator for gross domestic purchases","A712RD3",20.708,20.975,21.263,21.539,21.855,22.15,22.364,22.667,23.007,23.312,23.571,23.778,24.133,24.305,24.55,24.862,25.154,25.589,26.06,26.617,27.274,28.088,28.891,29.694,30.334,30.804,31.312,31.824,32.158,32.494,32.944,33.506,34.111,34.628,35.103,35.876,36.405,37.074,37.696,38.442,39.166,40.157,41.203,42.212,43.321,44.369,45.386,46.564,47.728,48.626,49.362,50.278,50.937,51.468,52.178,52.738,53.042,53.38,53.917,54.237,54.816,55.272,55.653,55.992,56.534,56.913,57.261,57.697,58.004,58.077,58.366,58.72,59.267,59.744,60.214,60.721,61.222,61.809,62.389,62.941,63.67,64.381,64.761,65.26,66.071,66.611,67.34,68.135,68.566,68.872,69.315,69.706,70.049,70.514,70.939,71.37,71.722,72.162,72.53,72.875,73.187,73.593,74.087,74.476,74.89,75.28,75.598,75.924,76.325,76.59,76.771,77.237,77.664,77.681,77.916,78.135,78.109,78.197,78.426,78.688,78.988,79.352,79.741,80.207,80.945,81.345,81.896,82.358,82.836,83.21,83.354,83.429,83.686,84.168,84.541,85.029,85.777,85.858,86.357,86.766,87.619,88.39,89.036,89.843,90.559,91.273,92.34,93.208,93.865,94.608,95.257,95.402,96.408,97.061,97.572,98.428,99.306,100.291,101.229,100.264,99.663,99.724,100.032,100.576,101.04,101.271,101.595,102.169,102.926,103.881,104.393,104.646,105.249,105.539,105.813,106.316,106.666,106.831,107.264,107.624,107.995,108.525,108.887,108.85
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","2. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","3. Food excludes personal consumption expenditures for purchased meals and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","beverages, which are classified in food services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
