"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"60","52","        Intermediate goods and services purchased \3\","W140RA3",5.798,5.93,6.115,6.094,5.767,5.943,5.888,6.016,6.501,6.838,7.174,7.444,8.082,8.108,7.943,7.815,7.476,7.411,7.382,7.327,7.051,7.833,6.893,7.069,7.344,7.023,7.325,7.115,7.297,7.327,7.737,7.725,8.591,8.625,8.549,8.49,8.243,8.208,8.193,8.279,8.256,8.462,8.765,8.997,9.551,9.87,10.061,10.203,10.456,10.57,10.72,10.809,10.986,11.385,11.125,11.28,11.762,12.182,11.808,12.16,12.297,12.316,12.498,12.629,12.906,13.1,13.36,13.673,13.952,14.323,14.689,14.991,15.452,15.778,16.123,16.412,16.818,17.112,17.304,17.692,18.093,18.386,18.753,19.21,19.616,20.075,20.693,21.261,21.871,22.381,22.936,23.525,24.122,24.469,25.332,25.94,26.65,27.096,27.456,27.932,28.505,28.803,29.073,29.369,29.435,29.58,30.026,30.721,30.947,31.361,31.621,32.119,33.315,34.002,34.39,34.58,34.616,34.877,35.14,35.415,35.677,35.886,36.209,36.512,36.627,36.918,37.1,37.253,37.171,37.111,36.919,36.591,36.091,35.744,35.563,35.563,35.597,35.84,36.125,36.45,36.823,37.319,37.803,38.357,39.528,39.744,40.092,40.384,40.63,41.223,41.973,42.87,43.767,45.155,46.532,48.281,50.66,51.871,52.645,52.86,52.378,52.116,51.61,51.417,52.407,52.934,53.465,54.086,54.523,54.963,55.393,56.146,56.41,56.657,57.077,57.683,58.479,59.177,59.902,60.66,61.372,62.049,62.875,63.701,64.824,65.164,65.941,66.631,67.806,68.428,69.183,69.899,70.623,71.245,71.72,72.141,72.422,72.869,73.368,74.075,75.059,76.016,77.218,78.604,80.202,81.913,83.611,85.077,86.795,88.082,89.068,90.115,90.545,91.389,92.42,93.713,95.797,97.488,98.828,100.482,101.989,102.591,102.843,102.625,101.296,100.666,100.263,99.983,100.294,100.244,100.122,100.103,99.958,99.93,99.956,100.155,99.927,100.248,100.644,101.484,102.047,102.74,103.295,103.379,103.462,103.297,103.34,103.382,103.251,103.358,102.93,102.732
"61","53","          Durable goods","B989RA3",2.566,2.73,2.897,2.917,3.759,3.693,3.54,3.452,3.38,3.73,4.107,4.303,4.107,4.054,3.901,3.723,4.152,4.172,4.214,4.146,4.497,4.543,4.529,4.578,4.638,4.683,4.762,4.862,5.198,5.116,5.273,5.331,5.062,5.228,5.13,4.999,5.45,5.645,5.723,5.845,6.508,6.782,7.035,7.261,6.746,6.886,6.964,7.17,7.708,7.719,7.898,7.901,8.053,8.256,8.269,8.375,8.714,8.589,8.766,8.842,9.241,9.118,9.426,9.587,9.921,9.769,9.928,10.165,10.343,10.467,10.73,10.989,11.614,11.707,12.071,12.318,12.495,12.778,12.96,13.188,13.578,13.495,13.408,13.613,14.574,15.394,16.136,16.688,17.05,17.622,18.202,18.891,19.146,19.907,20.778,21.34,22.316,23.107,23.78,24.616,25.314,26.003,26.307,26.815,27.331,27.683,28.445,29.238,29.844,29.926,29.448,29.246,29.673,30.084,30.58,31.166,31.131,31.514,31.97,32.171,32.476,32.877,33.053,32.952,32.957,33.487,33.928,34.296,34.132,34.463,34.598,34.473,34.034,33.923,33.968,34.368,34.669,35.223,35.615,35.895,36.054,36.364,36.685,37.053,37.661,37.895,38.455,38.912,39.512,40.221,40.945,41.32,41.479,42.181,42.932,43.697,44.739,45.656,46.527,46.989,47.027,47.35,47.898,48.309,48.414,48.8,49.071,49.552,50.303,50.918,51.458,52.202,52.292,52.332,52.627,52.785,53.378,54.038,54.799,55.482,55.621,55.951,56.359,56.318,57.183,57.478,58.118,58.441,59.27,59.853,60.807,61.618,63.146,64.056,64.884,65.734,65.541,65.706,66.457,67.365,69.278,70.302,71.546,72.571,75.377,77.953,80.434,81.898,83.81,85.374,86.823,88.74,90.275,91.447,93.375,94.508,97.085,99.154,100.352,100.973,101.314,100.898,100.578,100.187,99.276,99.051,99.025,98.95,99.41,99.607,99.721,99.595,99.643,99.919,100.057,100.381,100.664,101.304,101.845,102.648,103.82,104.6,105.396,105.806,105.992,106.199,106.327,106.823,106.682,106.915,106.79,106.36
"62","54","          Nondurable goods","B337RA3",6.409,6.503,6.694,6.582,6.025,6.129,6.251,6.538,7.163,7.74,8.202,8.525,9.175,9.131,8.803,8.493,7.726,7.66,7.614,7.534,7.362,8.263,7.263,7.509,7.719,7.322,7.57,7.382,7.388,7.444,7.989,8.038,8.943,9.06,9.005,8.919,8.39,8.289,8.309,8.391,8.081,8.292,8.714,9.071,9.761,10.32,10.695,11.011,12.432,12.617,12.856,12.986,13.137,13.309,13.423,13.617,13.904,14.201,14.34,14.49,14.564,14.593,14.84,14.989,15.261,15.405,15.563,15.816,16.048,16.503,16.846,17.108,17.48,17.745,17.964,18.098,18.421,18.584,18.624,18.931,19.228,19.414,19.667,20.137,20.526,20.901,21.409,22.032,22.495,22.844,23.351,23.922,24.614,25.052,26.037,26.855,27.639,28.01,28.44,28.75,29.157,29.247,29.229,29.402,29.374,29.326,29.681,30.324,29.98,30.328,30.368,30.797,32.284,33.1,33.553,34.134,34.973,35.643,36.462,37.282,37.788,38.195,38.855,39.109,39.173,39.449,39.601,39.662,39.557,39.407,39.09,38.614,38.032,37.562,37.21,37.104,37.206,37.291,37.363,37.434,37.636,38.013,38.384,38.777,39.703,39.867,40.273,40.663,41.248,41.92,42.62,43.235,43.717,44.653,45.646,46.726,48.082,48.983,49.725,50.193,50.157,50.455,50.951,51.438,51.793,52.163,52.437,52.835,53.588,54.086,54.595,55.305,55.447,55.761,56.391,56.998,57.761,58.442,59.219,59.917,60.495,61.119,61.934,62.651,63.631,63.862,64.541,65.293,66.689,67.609,68.631,69.481,70.264,70.951,71.496,71.991,72.311,72.806,73.35,74.037,74.936,75.891,76.971,78.274,79.72,81.251,82.877,84.414,86.168,87.478,88.529,89.574,89.967,90.842,92.141,93.538,95.606,97.308,98.777,99.984,101.209,101.692,101.78,101.497,100.298,99.753,99.518,99.397,99.861,99.902,99.967,99.954,99.859,99.95,100.042,100.149,100.21,100.582,101.01,101.601,102.43,102.987,103.478,103.787,103.895,103.939,103.951,104.293,104.164,104.142,103.897,103.689
"63","55","          Services","A988RA3",5.806,5.969,6.154,6.207,5.918,6.197,5.992,6.011,6.461,6.602,6.833,7.075,7.823,7.916,7.882,7.912,7.824,7.746,7.72,7.686,7.228,8.025,6.993,7.133,7.493,7.18,7.558,7.284,7.584,7.609,7.953,7.883,8.891,8.842,8.754,8.726,8.588,8.568,8.512,8.597,8.692,8.885,9.106,9.246,9.849,10.02,10.095,10.106,9.529,9.612,9.702,9.776,9.973,10.54,10.007,10.142,10.766,11.333,10.564,11.079,11.222,11.252,11.377,11.492,11.764,12.034,12.371,12.731,13.051,13.401,13.793,14.124,14.619,15.013,15.433,15.826,16.313,16.691,16.982,17.44,17.908,18.318,18.814,19.295,19.636,20.099,20.767,21.302,22.034,22.632,23.211,23.795,24.375,24.612,25.397,25.886,26.517,26.962,27.24,27.763,28.412,28.777,29.207,29.546,29.612,29.846,30.306,31.018,31.56,32.058,32.561,33.197,34.287,34.92,35.246,35.112,34.604,34.571,34.431,34.351,34.444,34.495,34.613,34.998,35.159,35.428,35.596,35.78,35.725,35.677,35.529,35.282,34.834,34.546,34.463,34.49,34.44,34.76,35.185,35.695,36.209,36.806,37.385,38.065,39.457,39.702,39.984,40.194,40.186,40.715,41.497,42.625,43.857,45.586,47.248,49.48,52.562,53.954,54.723,54.779,54.015,53.397,52.243,51.627,53.047,53.674,54.366,55.118,55.354,55.743,56.117,56.891,57.24,57.474,57.793,58.446,59.28,59.989,60.683,61.479,62.318,63.058,63.934,64.903,66.123,66.521,67.358,68.053,69.154,69.637,70.241,70.881,71.495,72.057,72.462,72.803,73.112,73.563,74.015,74.712,75.65,76.602,77.858,79.316,80.874,82.588,84.248,85.681,87.366,88.619,89.536,90.509,90.866,91.668,92.494,93.749,95.803,97.461,98.752,100.697,102.427,103.165,103.538,103.364,101.942,101.241,100.729,100.357,100.581,100.468,100.234,100.219,100.033,99.92,99.902,100.145,99.72,99.991,100.359,101.339,101.716,102.479,103.056,102.988,103.053,102.732,102.793,102.621,102.489,102.653,102.112,101.934
"64","56","      Less: Own-account investment \4\","W144RA3",9.109,9.005,9.637,10.213,10.418,11.821,12.548,12.993,14.053,15.943,16.747,16.806,16.215,16.334,16.838,17.578,17.729,19.227,19.123,18.551,22.358,22.094,21.78,21.862,20.554,20.135,21.035,21.871,21.539,21.812,22.07,21.957,21.239,21.634,21.735,21.788,23.743,24.364,24.292,24.275,24.678,24.542,24.115,24.51,25.393,25.429,26.588,27.355,35.068,36.178,36.369,34.324,32.616,33.754,33.884,32.813,36.365,30.486,33.334,39.161,37.096,31.447,39.057,40.383,44.065,40.981,40.657,40.7,40.266,41.488,41.612,40.917,40.434,41.087,43.259,44.069,44.266,45.802,43.889,44.211,46.773,42.807,41.119,42.084,44.208,47.593,45.139,45.12,45.327,45.324,46.373,46.258,45.692,45.577,48.355,45.735,47.005,47.272,44.428,46.792,44.88,46.877,43.455,45.603,44.662,42.965,42.907,44.988,46.803,48.503,47.535,43.997,46.946,42.47,43.537,43.157,36.904,39.524,41.8,37.421,35.939,37.477,36.248,32.28,29.225,35.898,40.999,46.675,39.242,43.658,45.937,47.869,47.58,45.94,44.67,45.975,44.091,44.077,43.298,44.509,43.282,44.981,44.263,44.748,41.823,42.646,45.624,45.903,44.76,47.066,51.327,52.252,50.323,52.304,53.541,54.794,52.861,56.184,58.812,57.984,57.327,56.378,58.69,58.316,58.305,60.311,60.282,62.335,63.942,66.467,68.329,70.705,71.498,69.831,69.341,71.427,72.221,73.353,74.012,74.917,75.84,73.507,71.526,70.663,70.851,72.981,73.062,72.906,71.023,72.154,74.505,74.747,73.784,74.836,73.75,74.224,74.47,75.184,74.451,76.04,84.432,83.078,80.749,80,79.805,83.527,86.119,85.612,86.904,86.125,85.173,89.646,92.914,89.795,92.925,92.072,96.835,102.352,100.121,100.769,101.553,99.952,99.484,98.985,97.082,95.94,98.434,97.913,97.942,99.908,99.395,99.114,98.495,100.12,99.827,101.559,100.664,103.853,103.703,103.755,106.19,107.554,108.428,109.763,109.491,111.847,111.583,110.179,108.78,111.239,110.088,106.942
"65","57","            Sales to other sectors","W145RA3",6.868,7.013,7.117,7.157,7.021,7.236,7.298,7.553,7.89,8.247,8.473,8.688,8.989,9.146,9.075,9.01,8.812,8.854,8.88,8.903,8.977,9.024,9.1,9.188,9.285,9.388,9.394,9.549,9.627,9.887,10.126,10.357,10.711,10.962,11.149,11.337,11.296,11.367,11.47,11.611,11.755,11.98,12.273,12.589,12.97,13.369,13.65,14.052,14.095,14.221,14.33,14.393,14.813,14.781,14.789,14.878,15.261,15.729,16.034,16.285,17.186,17.531,17.683,17.902,18.709,19.112,19.472,19.95,20.283,20.88,21.401,22.019,22.708,23.256,23.792,24.351,24.712,25.442,25.922,26.615,27.332,27.999,28.465,29.253,30.096,30.809,31.341,31.756,32.15,32.33,32.601,32.807,33.101,33.644,34.224,34.96,36.012,36.742,37.511,38.148,38.758,39.498,40.025,40.86,41.503,41.611,41.036,42.016,41.767,41.566,41.279,41.46,41.812,41.987,41.442,42.49,43.522,44.066,44.34,45.306,45.288,45.26,45.576,46.624,47.023,47.486,48.109,48.758,49.347,49.957,50.311,50.565,50.368,50.554,50.908,51.557,52.225,52.886,53.395,53.854,54.201,54.458,54.815,55.186,55.946,56.648,56.94,56.836,56.367,56.309,56.359,56.808,57.501,58.153,58.563,59.205,59.777,60.159,60.437,60.661,60.925,61.174,61.281,61.536,61.849,62.203,62.541,62.98,63.59,64.034,64.356,64.688,64.878,65.171,65.473,65.965,66.575,67.137,67.811,68.579,69.38,70.157,70.98,71.76,72.973,73.543,74.28,75.009,75.653,76.082,76.779,77.589,78.63,79.144,79.65,80.092,80.353,80.57,80.957,81.595,82.417,83.043,83.993,85.047,85.52,85.972,86.479,86.876,87.253,87.956,88.655,89.605,90.895,92.101,93.269,94.673,96.313,97.338,98.058,98.635,98.664,98.819,98.899,98.905,98.76,98.789,98.873,99.036,99.448,99.621,99.741,99.86,99.916,99.916,99.987,100.181,100.317,100.645,101.021,101.535,101.982,102.716,103.485,104.16,105.383,105.777,105.991,105.86,105.833,105.957,105.939,105.912
"66","58","              Tuition and related educational charges","B1065A3",4.157,4.307,4.417,4.522,4.802,5.114,5.422,5.551,5.724,5.898,6.071,6.071,5.85,5.973,5.756,5.666,5.742,5.698,5.816,5.816,5.977,5.977,6.139,6.3,6.462,6.623,6.573,6.683,6.791,7.054,7.211,7.469,7.724,7.821,8.012,8.465,8.644,8.88,9.195,9.633,10.002,10.222,10.653,11.01,11.296,11.647,12.073,12.557,12.764,12.74,12.737,12.958,13.526,14.001,14.441,14.633,14.935,15.329,15.611,16.098,16.712,17.096,17.82,18.439,18.99,19.672,20.349,21.009,22.043,22.973,23.791,24.825,25.814,26.56,27.705,28.64,29.703,30.409,31.103,31.975,32.983,33.76,34.838,35.772,37.427,38.445,38.948,39.719,40.686,41.642,42.929,44.718,46.852,48.859,50.424,51.821,53.992,55.523,56.343,57.073,57.768,58.767,59.37,60.786,64.358,64.888,60.376,65.652,65.111,62.413,61.56,65.36,66.028,64.848,59.515,64.411,65.897,65.524,63.609,68.002,68.794,67.977,66.765,70.234,70.567,71.296,72.459,74.338,73.324,73.7,74.132,75.698,76.005,76.143,76.88,77.719,77.575,78.085,78.815,78.902,78.199,77.992,78.305,78.344,80.297,80.63,80.924,81.088,80.937,80.58,80.485,80.488,80.581,80.724,80.556,80.434,80.887,81.126,81.418,81.566,81.185,81.386,81.914,82.646,83.199,83.948,84.649,85.497,86.092,86.585,87.229,87.654,88.083,88.491,88.889,89.871,90.078,90.401,90.294,90.286,91.537,91.892,92.28,92.225,91.509,90.882,90.576,90.474,90.794,90.696,91.007,91.29,91.45,91.262,91.059,91.307,91.202,91.177,91.56,92.208,92.716,93.329,93.848,94.613,95.091,95.763,96.493,97.343,97.873,98.46,99.354,100.335,101.427,101.915,102.909,103.328,103.221,103.194,102.825,102.533,102.558,102.702,103.139,103.662,103.963,103.886,102.557,101.846,100.766,100.267,99.497,99.095,99.722,99.676,99.972,100.63,100.619,100.763,101.019,101.159,101.469,101.822,102.238,102.901,103.747,103.712,103.497,102.574,102.471,102.369,102.266,102.164
"67","59","              Health and hospital charges","B1066A3",4.319,4.346,4.463,4.718,4.883,5.087,5.37,5.62,5.865,5.963,5.871,5.806,5.709,5.594,5.56,5.609,5.661,5.707,5.605,5.704,5.745,5.742,5.819,5.834,5.841,6.013,6.084,6.301,6.382,6.658,6.788,6.872,7.051,7.325,7.59,7.918,8.183,8.439,8.686,8.859,9.042,9.443,9.886,10.434,11.265,11.977,12.477,13.116,12.939,12.923,12.829,12.528,12.531,11.941,11.609,11.386,11.448,11.786,12.262,12.88,13.628,14.095,14.395,14.526,14.52,14.615,14.68,14.928,15.194,15.608,16.099,16.542,17.161,17.744,18.412,19.105,19.783,20.419,21.014,21.535,22.1,22.922,23.82,24.997,26.243,27.188,27.891,28.257,28.376,28.372,28.4,28.281,28.102,28.31,28.996,30.084,31.652,33.008,34.328,35.622,36.761,38.098,39.052,40.38,41.62,42.45,43.294,43.826,43.962,44.2,44.215,44.079,44.49,45.114,45.55,46.124,47.278,48.095,48.523,48.799,48.49,48.455,49.16,50.176,51.569,52.361,52.826,53.246,56.278,57.072,57.266,57.073,57.172,57.169,57.471,57.772,60.404,61.134,61.324,61.177,62.656,62.975,62.785,62.888,63.589,64.758,64.845,64.501,63.333,62.837,62.636,62.747,63.566,63.975,64.544,65.303,65.602,65.935,66.224,66.348,66.089,66.112,66.052,66.01,66.059,65.99,66.102,66.189,66.499,66.619,66.639,66.726,66.909,67.093,67.455,67.816,68.716,69.584,70.608,71.728,72.636,73.708,74.775,75.78,77.202,78.216,79.004,80.023,80.6,81.223,81.985,83.062,84.582,85.296,85.81,85.843,85.112,84.855,84.923,85.215,85.834,86.367,87.384,88.817,89.16,89.45,89.794,90.143,90.174,90.733,91.372,92.225,93.258,94.801,96.107,98.167,101.363,103.236,104.527,105.342,104.866,104.534,103.881,103.117,102.477,101.992,102.044,102.218,102.537,102.738,102.573,102.264,100.877,100.219,99.634,99.27,99.565,99.688,100.045,100.621,101.295,102.11,102.99,103.864,105.754,106.651,107.378,107.622,107.514,107.407,107.299,107.192
"68","60","              Other sales","W146RA3",7.881,8.062,8.149,8.077,7.739,7.918,7.827,8.084,8.461,8.935,9.293,9.659,10.22,10.493,10.443,10.337,9.989,10.042,10.105,10.094,10.158,10.234,10.285,10.384,10.501,10.548,10.532,10.649,10.711,10.934,11.215,11.488,11.908,12.15,12.276,12.316,12.081,12.017,11.991,12.037,12.099,12.209,12.362,12.512,12.634,12.831,12.933,13.144,13.263,13.479,13.704,13.923,14.488,14.671,14.789,15.032,15.572,16.069,16.237,16.187,17.123,17.342,17.258,17.414,18.656,19.129,19.549,20.062,20.234,20.786,21.186,21.734,22.302,22.706,22.942,23.253,23.207,23.898,24.193,24.858,25.505,25.956,25.931,26.319,26.579,26.963,27.312,27.614,27.994,28.081,28.225,28.231,28.347,28.68,28.858,29.082,29.349,29.349,29.622,29.699,29.841,30.004,30.145,30.375,29.788,29.295,28.855,28.917,28.523,28.675,28.371,27.862,28.049,28.215,28.267,28.534,29.221,29.716,30.39,30.857,30.854,31.026,31.4,31.726,31.372,31.47,31.988,32.417,31.534,31.979,32.38,32.617,32.108,32.422,32.674,33.455,32.693,33.248,33.891,34.881,34.507,34.807,35.614,36.277,36.688,37.001,37.457,37.509,37.645,38.093,38.424,39.295,39.998,40.998,41.404,42.129,42.97,43.422,43.667,44.002,44.993,45.471,45.601,45.986,46.474,47.115,47.55,48.201,49.108,49.867,50.396,50.958,51.066,51.428,51.615,52.062,52.446,52.706,53.222,53.825,54.289,54.835,55.497,56.303,58.008,58.489,59.587,60.279,61.142,61.541,62.314,62.993,63.775,64.336,65.147,66.211,67.952,68.906,69.71,70.79,72.014,72.759,73.819,74.505,75.142,75.696,76.301,76.533,77.278,78.217,78.889,79.942,81.645,82.766,83.832,84.876,85.381,85.841,86.377,87.101,87.803,88.611,89.472,90.224,90.492,91.279,92.226,92.891,94.334,94.879,95.95,96.995,98.704,99.65,100.489,101.157,101.166,101.899,102.377,103.053,103.278,104.156,105.006,105.416,105.981,105.981,105.791,105.697,105.828,106.424,106.591,106.726
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
