"","Table 2#3#5U# Personal Consumption Expenditures by Major Type of","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"134","9","E1GFO1 B   Gasoline, fuel oil, and other energy goods","E1GFO10",125758,129747,129344,126874,128041,123387,123683,125847,124680,127453,128291,125517,128736,128600,123968,124735,123896,125093,129876,134181,131990,132129,129740,135029,133655,135893,133534,133657,135783,137432,134429,132530,130580,130001,130205,131742,137442,135468,144290,148111,148921,146461,145096,144017,141356,146493,148630,150857,150502,153932,152291,147741,142006,143469,143238,146944,149485,147840,149069,146350,142257,136975,135822,132967,132716,132696,133852,133509,128909,132324,133372,131386,130415,129290,132339,148644,146737,144079,151486,155660,156160,164526,160985,177040,172063,180931,195612,187749,184210,193736,196612,188784,195717,197440,198694,206238,201391,199657,192062,199142,202395,194995,189500,178505,189836,175583,165883,155797,155113,155379,167499,180297,181220,182325,182715,185379,185360,188126,190114,191680,200868,219767,233300,211671,195546,196522,196137,214544,223953,211963,205462,206264,224456,224813,238808,238533,261329,259559,249178,248590,250000,271115,269779,262933,269035,268524,287992,305235,295386,288674,309311,330949,372382,371217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","10","E1GAO1 B     Gasoline and oil","E1GAO10",113742,117615,116662,114750,116128,111045,110947,113119,112103,114941,115358,113157,113711,114932,111180,113391,111585,112359,117026,121231,118761,119665,117583,122871,122273,122989,121146,120803,122122,123941,120912,119244,117817,117972,116207,117129,122863,120420,129476,133368,134880,133070,131483,130513,126800,131914,134264,135928,135828,141040,139289,134413,128409,130041,129953,133538,136424,134883,135671,133510,131339,125954,123487,120720,120973,120428,121709,121938,117869,121137,122162,120951,119903,119322,120320,137012,134538,132189,139250,143374,143577,152090,148655,164067,158045,165401,182368,173961,169303,177823,181004,172667,178862,180534,181523,186381,183183,182050,175351,182928,187551,180347,174890,163138,174339,160977,151822,143130,142648,143016,154337,166505,166832,168282,168321,171010,170977,172869,174371,175136,184085,201079,214550,195571,179755,180142,179133,197960,207556,194751,189111,187911,205421,205646,222890,220672,243392,240760,229448,228040,229434,250356,247709,241556,247617,247479,264327,283828,273407,264587,286004,305856,346862,345390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","11","E1FUL1 B     Fuel oil and coal","E1FUL10",12016,12133,12682,12124,11913,12342,12735,12728,12577,12513,12933,12359,15025,13668,12787,11345,12310,12734,12850,12949,13229,12465,12156,12158,11381,12905,12388,12854,13661,13492,13517,13286,12763,12029,13998,14613,14579,15048,14814,14744,14041,13391,13613,13504,14555,14579,14366,14929,14674,12892,13002,13328,13596,13428,13284,13406,13062,12957,13398,12840,10918,11021,12336,12246,11742,12268,12143,11572,11040,11187,11210,10435,10512,9968,12020,11632,12199,11889,12236,12286,12583,12436,12330,12973,14018,15530,13244,13788,14908,15913,15608,16117,16855,16906,17171,19857,18209,17608,16711,16214,14844,14648,14609,15367,15497,14606,14062,12667,12465,12363,13162,13793,14388,14043,14394,14368,14383,15258,15742,16543,16783,18688,18751,16100,15791,16380,17005,16584,16397,17211,16351,18352,19035,19167,15918,17861,17938,18799,19731,20551,20566,20759,22071,21376,21417,21045,23664,21407,21979,24087,23307,25093,25519,25827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","12","E1TON1 B   Other","E1TON10",325583,326740,327009,329288,331664,330816,333843,331808,331982,332169,334809,337886,337159,339417,343324,344588,346372,348712,349826,353991,355170,357637,357648,360152,362452,359017,361805,364082,366890,369509,369413,370416,374900,373772,377900,380303,376850,381107,384256,386952,387287,390886,393348,394944,396902,401043,402446,406321,403111,407873,411995,411127,412667,415588,418685,419827,422496,424083,427913,427913,434123,434660,434645,439758,442500,448572,450089,453015,455998,458146,463791,472749,483292,484233,482750,487771,491561,489545,486096,494623,503900,505820,512837,524644,506358,506928,521623,532215,533047,529350,536502,537687,545460,545112,546496,553519,547746,549900,548548,552785,563740,559732,569935,572129,569314,579909,579943,579310,588143,590390,587419,595371,587106,598170,596923,595057,601889,600288,603232,601554,607022,608117,610734,609415,603595,620366,621693,630331,628668,628065,637451,634947,640721,629957,649705,649292,652919,652327,656410,658728,664563,668159,666927,667624,674664,679911,675877,682330,683719,689748,690023,694089,695077,697642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","13","E1TSS1 A Services","E1TSS10",2494937,2521387,2526224,2535492,2544418,2568394,2579445,2595545,2608420,2618867,2627409,2640580,2660718,2675712,2678920,2686679,2704003,2720838,2727796,2748073,2757256,2768572,2775090,2783033,2793787,2818609,2828876,2842102,2861798,2882595,2887100,2910161,2907939,2921326,2941157,2954017,2968624,2987418,3003501,3014838,3027210,3040234,3056170,3069340,3083460,3093515,3108743,3131835,3143598,3167538,3171070,3195128,3209398,3218310,3250743,3257573,3275229,3303004,3306484,3331270,3340823,3373185,3394186,3398234,3424915,3446234,3462339,3479884,3492038,3498799,3510830,3527137,3552886,3560737,3590408,3613823,3629604,3645282,3675460,3691830,3708458,3726116,3750536,3775354,3809053,3847948,3871319,3876815,3894086,3915840,3936269,3956256,3977684,3996257,4015927,4048589,4069517,4080112,4101381,4118298,4139894,4150421,4170978,4188329,4148110,4212866,4225252,4245890,4249672,4273907,4286919,4306660,4329476,4339519,4365932,4367743,4380438,4408282,4419769,4437486,4463303,4481388,4493663,4513562,4547220,4559244,4577595,4596805,4608057,4641274,4667540,4699720,4741599,4762776,4761792,4788597,4822316,4836722,4871325,4891886,4909774,4937071,4972645,5001563,5018093,5040823,5066471,5070992,5113222,5139213,5159822,5182205,5217574,5241676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","14","E1HOS1 B   Housing","E1HOS10",671898,672784,674006,677259,679219,681848,684349,687069,689488,692447,695597,700663,704883,711322,715689,718166,720894,724286,727308,731473,735784,738399,741767,743739,747568,749890,753505,756532,760275,763362,765765,768278,772218,775305,778952,780978,783257,785219,790159,792167,795157,797990,801788,804948,807483,811161,814330,817445,821516,825361,828400,832814,836396,840681,844278,848968,851928,855370,860165,865478,870629,874433,878023,882687,887788,893384,897226,901518,905682,910555,914804,918612,925899,929982,934797,938341,942517,945996,950688,954222,958525,961858,967385,970738,978525,982685,990074,993497,999117,1003919,1008053,1013198,1019596,1024334,1030186,1034284,1041057,1046790,1053226,1058934,1065732,1072241,1077860,1085067,1083968,1092105,1100079,1107474,1109603,1113793,1115424,1119625,1120718,1122828,1124875,1126737,1127079,1130057,1131172,1135441,1138912,1142273,1144239,1146132,1149686,1152734,1158460,1163341,1165499,1172516,1178270,1184276,1190173,1194401,1202882,1208330,1213993,1219431,1225120,1229584,1235151,1240500,1243908,1249695,1255829,1260116,1265868,1270808,1275454,1279631,1284699,1287862,1292121,1299292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","15","E1HOP1 B   Household operation","E1HOP10",249983,267756,266143,262451,259661,271727,271020,276194,279339,278674,272393,283221,282365,284511,281490,280788,285700,297472,285456,288959,286753,288455,285825,286107,287714,293131,284728,294416,296954,297522,304582,310796,299622,298521,308028,308937,310687,317552,317504,316534,321053,317987,312582,319949,315589,321880,325939,325242,332539,329506,323193,335846,332347,329555,338099,333812,339958,354495,343852,350704,336029,345107,350211,344360,353999,360041,356193,356101,357293,348802,346281,351319,356141,350420,360146,361032,360864,366895,371903,371947,372874,371490,364078,369630,373939,374113,367841,378367,385401,392407,389572,395201,396296,397700,405103,425378,416590,416776,421522,406809,411486,410630,412580,408781,405147,407440,391971,398557,396708,401252,401950,403305,410627,406856,408116,408330,407312,416899,415513,415252,422968,431289,419750,426985,432224,425346,429625,431355,422788,431129,433766,438031,447780,446942,425247,435157,444826,442174,446674,447008,444161,449891,460219,463717,460796,463740,471400,463061,476129,475060,476747,479658,491342,498300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","16","E1GEL1 B     Electricity and gas","E1GEL10",103915,121164,118420,113877,109792,120688,118568,122237,124315,123188,116167,125564,123722,123340,119144,118177,122103,132532,119374,121459,118098,119003,115732,115174,115549,120990,111833,120466,122340,121714,127380,132734,120439,118636,127331,127016,128468,134453,131825,130670,132775,128286,122661,129439,123984,128841,131760,129676,134992,130949,123015,134692,129732,124947,130754,126133,130420,143162,130832,136548,121343,129471,133426,126991,135074,139965,133752,133379,133120,124381,120718,125524,129490,122363,130436,129656,128419,132771,136497,135167,135161,133951,124775,129013,131011,131136,123510,132537,138023,145418,141403,145869,149014,148354,156360,176969,167539,167843,171386,155832,159160,156958,157815,153816,151324,153868,138985,145662,143143,147415,149035,150017,155872,153077,152327,150832,150697,160275,158957,158132,163427,170546,158693,166155,170934,164294,167213,168505,159492,167257,169091,173187,181701,179733,157247,167588,175743,171947,174061,174355,171097,178085,188022,191516,186131,187605,194771,185339,197631,194203,194978,197896,208435,215351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","17","E1HLU1 B     Other household operation","E1HLU10",146069,146592,147723,148574,149870,151039,152453,153957,155024,155486,156227,157657,158643,161171,162346,162611,163597,164940,166082,167499,168656,169452,170093,170933,172165,172140,172895,173950,174615,175808,177202,178062,179184,179885,180697,181922,182219,183099,185679,185864,188278,189700,189921,190510,191605,193040,194178,195567,197547,198556,200178,201154,202614,204608,207345,207679,209538,211332,213020,214157,214686,215636,216786,217370,218925,220075,222441,222722,224173,224421,225563,225795,226651,228056,229711,231377,232445,234124,235406,236780,237713,237539,239303,240616,242928,242977,244331,245830,247378,246989,248169,249332,247282,249346,248743,248409,249052,248934,250136,250977,252325,253672,254765,254965,253823,253571,252986,252895,253566,253836,252915,253289,254756,253779,255790,257498,256615,256625,256556,257120,259541,260743,261057,260829,261290,261051,262413,262850,263296,263871,264675,264844,266079,267209,267999,267569,269084,270227,272613,272653,273064,271806,272197,272200,274665,276136,276629,277723,278498,280857,281769,281762,282908,282949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","18","E1TOT1 B   Transportation","E1TOT10",166210,167153,168077,168935,169828,171867,172792,174810,175802,176841,179587,180227,181725,183273,187296,187538,188406,189905,191147,192872,194173,196015,197434,197379,198567,199618,201351,203125,204815,207069,208202,211300,212569,214568,215442,215452,215997,219357,221119,222401,224190,223507,226211,228230,231812,234746,233098,237367,237645,239510,243228,243915,243200,244464,246399,246451,250076,251340,250396,251385,253628,254797,256323,257395,257836,258999,260679,261307,261687,263428,263514,264182,266853,269348,272793,272049,274883,276330,277940,279105,280294,282669,283144,281382,284015,286555,289968,289552,291475,291717,290959,292615,293984,294668,295721,293814,297670,297608,297043,297237,295753,295325,294938,294634,282617,286844,288074,286325,286801,287644,288538,288703,288985,289331,287389,287570,288100,288784,287782,291534,292071,293337,293614,293414,295272,296003,298252,298358,298510,300281,299876,302326,302487,306026,305875,305272,305284,306129,308680,308536,306790,307768,310678,309180,310408,311310,315118,315920,318875,320761,323457,323175,324956,324816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","19","E1TMD1 B   Medical care","E1TMD10",698874,705048,703754,706828,710792,713958,719099,719321,721385,724666,728030,729499,734350,738147,741349,743542,749252,749169,754447,757110,761170,765092,769449,772286,779016,783809,789806,789400,794056,795905,797423,803638,805039,809896,810847,815382,816937,812168,821476,826709,827675,834507,833644,836282,841006,846274,849315,856423,850125,858072,859878,864974,867021,870583,878867,878168,883377,883316,888969,893053,903081,910137,911398,913917,919154,919923,923834,925818,928825,930609,933824,936156,938939,942074,944276,948393,952455,956601,962860,967196,971446,978340,983044,988070,992660,998121,1003564,1011420,1016818,1022794,1031106,1036676,1042930,1049257,1055250,1061158,1071499,1080203,1086923,1093388,1100236,1109367,1117852,1124837,1133411,1140435,1149679,1158110,1160471,1169852,1177958,1185272,1193759,1201297,1208886,1218514,1226457,1236329,1244000,1251572,1258049,1263423,1274031,1280677,1289600,1295406,1300729,1308229,1315228,1327301,1335279,1345090,1352027,1360593,1367608,1378172,1387494,1395764,1407078,1414827,1424328,1432437,1440699,1451666,1461847,1471767,1477833,1482590,1492665,1502658,1513008,1520788,1532114,1540100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","20","E1REC1 B   Recreation","E1REC10",154648,154976,155979,158573,157663,159576,161893,163285,163867,164789,164004,165210,166137,167193,168220,168519,169452,171360,173779,172909,172696,173675,175982,176744,178188,180133,183241,183525,187344,188355,187885,190728,191607,192755,195462,195827,194805,196559,199022,198984,200157,202788,207105,204026,204701,206213,206670,208621,209234,213149,212486,213890,215109,214579,215437,216634,215560,218124,217262,219314,224042,223607,225169,225996,226380,227397,229332,231616,231833,234070,235156,236626,237355,239410,241772,244981,245210,247684,249681,251873,255522,255324,257077,257228,256287,260580,265252,265183,265889,267272,272419,271087,271988,274039,275609,273571,280706,279730,280988,281678,283643,282433,285202,287326,282190,285113,289604,291029,292319,291890,292738,296922,297635,296322,298439,299861,302705,304559,305289,309986,310067,309339,311290,312382,316319,318228,317186,318456,322478,325092,325809,328948,330491,334677,336632,334392,336190,337761,339383,340990,342585,343299,344902,344841,347871,351233,351902,349457,353924,355892,355709,356556,357778,358462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","21","E1OSR1 B   Other","E1OSR10",553324,553670,558265,561447,567254,569416,570293,574866,578538,581450,587797,581759,591258,591265,584876,588125,590299,588646,595659,604749,606679,606937,604633,606777,602734,612028,616246,615104,618355,630383,623245,625421,626883,630282,632426,637441,646942,656563,654220,658042,658978,663456,674839,675906,682869,673241,679391,686736,692539,701940,703883,703688,715326,718447,727662,733540,734331,740359,745840,751335,753413,765104,773062,773879,779758,786491,795074,803524,806720,811334,817251,820241,827700,829503,836623,849026,853675,851776,862388,867486,869798,876434,895809,908306,923627,945895,954620,938796,935387,937731,944160,947478,952890,956260,954058,960385,961994,959005,961678,980252,983045,980424,982546,987684,960777,1000929,1005845,1004395,1003769,1009476,1010311,1012833,1017752,1022886,1038226,1026731,1028786,1031653,1036013,1033701,1041237,1041727,1050739,1053972,1064119,1071528,1073343,1077065,1083554,1084956,1094539,1101049,1118641,1120136,1123549,1127275,1134527,1135463,1144390,1150940,1156758,1163177,1172239,1182464,1181341,1182655,1184351,1189154,1196176,1205211,1206202,1214167,1219262,1220706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",NA,"         Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","22","E1NRG1 B   Energy goods and services","E1NRG10",229673,250912,247764,240751,237832,244075,242250,248084,248994,250641,244457,251081,252458,251940,243112,242912,245999,257625,249250,255640,250087,251133,245471,250203,249204,256884,245367,254123,258122,259146,261809,265264,251019,248638,257536,258757,265910,269921,276115,278782,281696,274747,267757,273456,265340,275333,280390,280532,285495,284881,275306,282433,271738,268416,273991,273077,279905,291002,279900,282898,263600,266446,269248,259957,267790,272661,267603,266888,262029,256706,254090,256911,259905,251653,262775,278299,275156,276850,287983,290827,291321,298476,285760,306053,303074,312067,319122,320286,322233,339154,338015,334653,344731,345794,355054,383207,368930,367500,363448,354975,361555,351952,347314,332322,341160,329451,304868,301459,298256,302794,316534,330314,337092,335402,335041,336210,336057,348401,349071,349812,364295,390314,391994,377827,366481,360816,363350,383049,383444,379220,374553,379451,406157,404546,396056,406121,437072,431507,423239,422945,421097,449201,457801,454449,455166,456129,482762,490574,493017,482877,504289,528845,580816,586568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","23","E1XEF1 B   Personal consumption expenditures excluding food and energy","E1XEF10",3461719,3451136,3453817,3496326,3523081,3531768,3559419,3562014,3582810,3604635,3629603,3639604,3661182,3694918,3711063,3732587,3726468,3749099,3772775,3807562,3821190,3854180,3869395,3876161,3882023,3880776,3921173,3913024,3947258,3990517,3980037,4009187,4036997,4031265,4063420,4097685,4081233,4121271,4149587,4176938,4187756,4199258,4225228,4243455,4269456,4285163,4300952,4327555,4345725,4378135,4403512,4399580,4413991,4445418,4491193,4522479,4525045,4546841,4584548,4608886,4626744,4659226,4677633,4709662,4751327,4767774,4789327,4826176,4855462,4895629,4916305,4957123,4961296,4993221,5018262,5061740,5099958,5120966,5140477,5172416,5202318,5212858,5254941,5308764,5339549,5401854,5445359,5425120,5446336,5444797,5477118,5502421,5558868,5558810,5566704,5586251,5614008,5647132,5645003,5666034,5703302,5728996,5747850,5788911,5699248,5912817,5895637,5871642,5906319,5945923,5940943,5998800,5960642,6005929,6057150,6073617,6044374,6061209,6081160,6134787,6137510,6125370,6176346,6198632,6225340,6275680,6301985,6371076,6367321,6364537,6417599,6459960,6489519,6509978,6571043,6555155,6620661,6611910,6686433,6690555,6722360,6757857,6787156,6842840,6849755,6895130,6915856,6957545,6951279,7034475,7128817,7054641,7046301,7048540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",NA,"PCE by Major Type of Expenditure (From NIPA table 2.5.5):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","24","E1PCE1 A     Personal consumption expenditures","E1PCE10",4371482,4384965,4381493,4422487,4450888,4466674,4493759,4504314,4533974,4554765,4575936,4593907,4608483,4655703,4667496,4690275,4688263,4729915,4745394,4789150,4801195,4836178,4846501,4860884,4869261,4867425,4900458,4904174,4946050,4989824,4982671,5017953,5032485,5024528,5065830,5108787,5097970,5145239,5185084,5219630,5234826,5241596,5263630,5287491,5308199,5340123,5365472,5392731,5419871,5453906,5472608,5473358,5474378,5506136,5564992,5596668,5607628,5639176,5666069,5694010,5698701,5736584,5764817,5788925,5842915,5870838,5887419,5928820,5956272,5995223,6018450,6064824,6067414,6099746,6138042,6202475,6245149,6264098,6297279,6338554,6375734,6396684,6433222,6531307,6537988,6618474,6685264,6664158,6687961,6712053,6745790,6766664,6839264,6846233,6860158,6908537,6938156,6969162,6960113,6978496,7029099,7044958,7064121,7098608,7012669,7222004,7177213,7165852,7196532,7242000,7252254,7330154,7296244,7342648,7396437,7410970,7382255,7414329,7443567,7501268,7523426,7539886,7602222,7605752,7621473,7678793,7714484,7819808,7812778,7812605,7870443,7916841,7997132,8016554,8083075,8076601,8186742,8173592,8244231,8250164,8295091,8371006,8409808,8467582,8483095,8541625,8582591,8646564,8647230,8737291,8856471,8816437,8863186,8878326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","25","E1FTB1 C Food and tobacco","E1FTB10",730431,733552,730827,736182,740793,741086,742265,742578,747743,744820,747330,749005,741332,755382,759987,761559,763143,770582,770975,773726,777530,778648,779545,782554,786129,778024,782187,785482,789687,789495,790139,793171,794362,794547,795051,802404,801255,804635,810251,814740,816843,819030,822252,822225,825223,831699,836463,836574,841084,843534,846635,845254,842708,845728,853337,854904,857022,856395,856690,857295,863921,867976,873239,876510,882240,887870,889246,894196,899077,903259,907403,919689,919179,926243,925382,933404,939826,935355,940231,945341,956689,959635,966043,989883,970209,981016,998101,999367,997778,1005432,1010354,1007905,1016662,1020328,1019820,1017507,1035430,1035647,1032657,1041608,1047203,1047341,1056197,1061228,1059816,1064393,1064520,1077435,1076647,1081020,1079214,1090742,1085605,1091766,1094437,1093245,1095156,1094906,1103239,1106715,1111371,1113759,1122153,1117502,1117203,1129255,1136958,1153801,1149384,1156162,1165372,1164612,1189054,1189417,1203403,1202524,1216073,1217552,1222595,1224728,1239760,1251808,1252420,1258229,1267678,1280171,1273780,1288205,1292767,1309637,1313963,1324007,1327660,1334581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
