"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"59","50","  Exports of agricultural goods \2\","B181RG3",32.015,31.937,32.016,31.592,32.279,32.587,33.396,34.118,34.896,35.404,35.639,34.87,35.515,36.352,37.232,39.766,45.19,50.467,60.369,65.687,73.174,73.494,73.446,81.311,80.024,73.305,71.415,70.103,68.934,68.489,69.8,69.563,72.545,75.76,67.413,65.529,69.609,72.58,74.108,75.576,79.149,80.961,85.864,85.561,85.642,82.17,87.061,94.287,97.381,94.631,89.11,85.367,84.801,82.646,79.234,77.53,79.849,82.313,85.679,90.367,90.692,91.942,87.768,82.412,80.715,79.693,75.418,75.997,73.836,72.166,67.063,70.729,69.903,74.011,71.798,77.887,78.062,86.118,93.513,88.623,91.093,90.725,88.567,86.727,86.575,88.264,85.103,82.89,85.433,86.199,84.264,85.897,84.769,84.664,82.79,82.886,83.709,83.231,86.076,87.5,90.514,89.149,87.118,88.999,91.432,93.757,98.995,103.614,105.657,112.387,108.739,100.399,101.123,100.901,98.509,96.969,92.998,91.762,89.469,87.345,85.747,83.605,83.043,82.979,82.568,83.529,80.907,82.779,83.63,82.482,84.604,81.757,81.726,81.995,86.939,88.097,89.534,90.762,92.362,100.731,104.338,108.341,99.277,95.946,97.856,100.738,100.915,100.491,100.566,100.471,104.053,109.145,115.561,116.999,123.754,133.095,144.61,154.771,158.324,130.828,125.654,131.77,131.395,131.137,132.001,131.614,136.638,152.655,166.891,169.379
"60","51","  Exports of nonagricultural goods","B182RG3",29.315,28.909,29.51,30.507,30.833,31.515,31.603,31.492,32.333,32.236,31.938,32.569,32.818,33.337,33.269,33.651,34.172,35.375,36.578,38.613,41.295,43.404,47.233,49.153,51.77,52.279,52.224,53.335,54.528,55.256,55.393,56.957,57.695,57.838,59.45,59.936,60.094,61.397,61.964,64.844,67.246,70.749,71.573,73.551,76.559,78.212,80.786,82.824,85.321,85.787,87.971,89.108,90.187,91.28,91.85,91.653,91.501,92.416,94.019,95.228,96.939,98.333,99.215,98.398,97.947,97.42,96.53,95.692,94.869,94.34,94.308,94.688,95.283,96.547,97.195,98.524,100.063,101.77,102.457,102.665,103.409,103.363,102.533,102.008,101.537,101.449,102.347,103.606,103.399,102.579,101.419,101.203,100.89,100.724,100.525,100.06,99.984,100.169,99.623,99.228,99.542,100.097,100.81,101.442,102.635,103.14,102.124,100.836,99.865,98.677,97.662,96.654,96.347,96.09,95.938,95.35,94.484,93.803,92.9,92.506,92.297,92.396,92.621,93.153,93.501,93.95,94.269,94.271,94.171,93.808,92.989,92.283,92.006,92.394,92.786,92.855,93.609,93.785,93.527,93.785,94.875,96.005,97.04,98.343,99.256,99.696,100.136,100.911,101.633,103.114,104.313,104.141,104.429,105.593,105.721,106.731,108.375,111.388,112.864,105.457,101.484,101.559,103.01,104.509,105.978,107.574,107.364,109.348,111.964,114.683
"61","52","  Imports of durable goods","B333RG3",35.998,36.393,36.509,37.804,37.981,38.176,40.06,40.443,41.52,41.156,41.459,42.055,43.613,44.647,45.738,46.812,47.703,51.775,53.199,55.478,57.195,62.11,66.613,69.815,70.874,72.288,70.496,70.151,70.49,71.877,73.231,72.806,74.947,76.516,78.937,79.979,82.246,85.62,88.162,89.504,93.473,94.695,94.434,98.497,102.258,103.376,106.509,109.247,110.309,109.598,107.871,110.264,109.653,108.698,106.369,105.256,105.742,105.562,104.625,104.081,104.1,104.339,102.504,101.387,98.872,98.855,99.064,100.86,103.593,105.597,107.758,108.663,110.577,112.472,112.589,115.314,118.404,121.484,120.302,122.831,123.23,122.36,120.784,120.452,119.901,119.597,120.02,121.298,121.911,120.305,118.497,118.994,119.481,118.767,119.576,119.29,118.486,118.783,118.911,119.192,119.242,119.557,119.924,120.701,120.977,121.866,121.33,119.639,117.565,115.09,112.955,110.781,109.35,108.432,107.839,106.624,105.065,103.87,102.636,102.266,102.228,101.498,101.138,101.081,101.358,101.456,101.288,100.749,100.518,99.803,98.972,98.036,97.456,97.496,97.447,97.13,97.017,97.012,97.336,97.535,98.285,99.146,99.382,99.666,100.204,100.266,99.723,99.807,100.17,101.059,101.892,102.125,102.136,102.54,102.994,103.327,104.146,106.625,107.299,104.77,102.288,101.887,102.701,103.365,103.642,103.988,103.455,103.935,105.086,106.099
"62","53","  Imports of nondurable goods","B340RG3",12.082,12.02,12.129,12.512,12.765,12.973,13.071,13.253,13.334,13.412,13.618,13.726,13.845,14.404,14.451,14.703,15.393,16.542,17.714,20.217,27.847,32.87,34.367,35.037,35.659,34.964,33.734,33.723,34.805,35.403,36.014,36.793,38.481,39.88,39.742,39.876,40.181,40.499,40.318,41.066,42.693,46.87,54.448,59.623,67.457,71.788,73.692,74.732,78.184,79.487,75.826,74.198,73.963,71.859,71.869,71.358,67.4,67.556,68.515,67.816,68.227,69.107,68.351,67.719,65.818,65.794,64.323,65.303,61.599,53.25,52.092,53.42,57.115,60.146,61.605,61.922,60.985,61.444,60.373,59.525,63.014,66.351,64.003,64.894,67.689,63.564,68.159,77.683,69.665,66.011,64.212,64.465,64.604,65.809,66.693,65.777,65.31,65.386,63.551,62.16,61.891,63.596,66.226,65.942,68.156,69.446,68.339,68.133,69.817,71.253,71.026,73.266,73.414,69.305,68.851,68.667,65.48,63.702,62.141,61.912,61.311,64.568,67.663,71.2,75.448,75.504,77.418,79.632,78.538,74.792,71.821,67.922,68.052,72.437,73.285,75.297,81.597,76.718,77.136,78.341,82.481,84.41,86.198,91.755,92.923,96.233,102.491,108.352,108.337,109.606,110.426,106.292,108.046,111.69,115.549,127.597,139.382,151.453,159.336,123.256,100.707,106.046,114.846,121.896,128.318,125.741,124.468,130.079,143.97,153.034
"63","54","  Imports of nonpetroleum goods","B187RG3",31.304,31.435,31.663,32.815,33.185,33.546,34.617,34.967,35.575,35.399,35.729,36.174,37.158,38.307,38.968,39.815,41.036,44.483,46.149,48.596,50.513,55.08,59.38,62.314,63.909,64.099,61.681,60.951,61.714,63.079,64.495,64.847,67.207,69.421,70.628,71.196,73.102,75.57,76.864,78.486,81.599,83.208,84.077,88.153,92.228,93.714,96.741,98.07,98.864,98.211,96.454,97.308,97.159,96.224,94.217,93.497,93.372,93.311,92.918,92.43,92.766,93.324,92.001,91.014,88.673,88.515,88.527,90.165,92.501,93.515,95.367,95.811,97.383,99.387,99.898,102.5,105.215,107.542,106.788,108.806,109.505,109.055,107.65,107.413,107.622,107.422,107.843,109.039,109.774,108.453,106.956,107.425,108.223,107.437,108.207,108.354,107.256,107.674,107.847,108.115,108.158,108.669,109.567,110.591,111.113,112.079,111.846,110.684,109.161,107.395,105.683,104.321,103.441,102.52,102.114,101.327,99.916,98.982,97.874,97.629,97.422,96.812,96.677,96.915,97.151,97.543,97.842,97.977,98.316,96.889,95.401,94.369,93.812,94.194,94.317,94.435,95.388,95.196,95.314,95.483,96.678,97.444,97.736,98.494,99.315,99.72,99.729,101.235,100.684,100.734,101.512,101.808,102.296,102.834,103.089,104.219,106.27,109.367,110.283,107.149,104.116,103.057,103.194,104.459,105.682,105.936,105.725,106.607,108.538,109.899
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
